lemma,observed_forms,total_freq,sources,in_glossary,note
санньяси,санньяси,43,Вамшидаса; Воспоминания; ШЧМ,yes,Already glossary lemma; order-holder.
гуру,гуру,34,Вамшидаса; Воспоминания; ШЧМ,no,Standalone Sanskrit term; roman in prefixed compounds (лжегуру).
гопи,гопи,26,Вамшидаса; Воспоминания; ШЧМ,no,Indeclinable; always italic.
прасад,прасад|прасада|прасадом,38,Вамшидаса; Воспоминания; ШЧМ,yes,Already glossary lemma.
садху,садху,22,Вамшидаса; Воспоминания; ШЧМ,yes,Already glossary lemma.
даршан,даршан|даршана|даршанов|даршанах|даршаны|даршану,33,Вамшидаса; Воспоминания; ШЧМ,yes,Already glossary lemma.
брахман,брахман|брахмана|брахману|брахманы|брахманов|брахманам|брахманами|брахмане|брахманом,67,Вамшидаса; Воспоминания; ШЧМ,yes,Already glossary lemma.
санкиртана,санкиртаны|санкиртану|санкиртане|санкиртана|санкиртаной,30,Воспоминания; ШЧМ,yes,Already glossary lemma.
санньяса,санньясу|санньясы|санньяса,28,Воспоминания; ШЧМ,no,Order of life; distinct from санньяси (person). New lemma.
киртан,киртан|киртана|киртане|киртаном|киртанам|киртанов|киртанами|киртаны|киртану,28,Вамшидаса; Воспоминания; ШЧМ,no,Standalone Sanskrit term; always italic.
брахмачари,брахмачари,12,Вамшидаса; Воспоминания; ШЧМ,yes,Already glossary lemma.
гаятри,гаятри,10,Воспоминания; ШЧМ,yes,Already glossary lemma.
майявади,майявади,9,ШЧМ,yes,Already glossary lemma.
ачарья,ачарья|ачарьи|ачарьев|ачарье|ачарьей|ачарьям|ачарьями|ачарьях,22,Вамшидаса; Воспоминания; ШЧМ,yes,Already glossary lemma.
самадхи,самадхи,7,Вамшидаса,no,Indeclinable; always italic. New lemma.
майя,майе|майи|майю|майей|майя|майя-самсара,17,Вамшидаса; Воспоминания,yes,Already glossary lemma.
мантра,мантру|мантры|мантр|мантра|мантрой,17,Воспоминания; ШЧМ,no,Standalone Sanskrit term. New lemma.
пандит,пандит|пандита|пандитам|пандитом|пандитами|пандитов|пандитми,12,ШЧМ,yes,Already glossary lemma (Пандит honorific); lowercase common-noun usage here.
варнашрама,варнашрамы,5,Вамшидаса; Воспоминания; ШЧМ,yes,Already glossary lemma.
данда,данду|данд|данда|данды|данде|данда,15,Вамшидаса; ШЧМ,no,Time unit / sannyasi staff; always italic. New lemma.
кутир,кутир|кутира|кутире|кутиру,13,Вамшидаса,no,Hut; always italic. New lemma.
маха-мантра,маха-мантру|маха-мантры|маха-мантра,11,Воспоминания; ШЧМ,yes,Already glossary lemma.
туласи,туласи,5,Вамшидаса; ШЧМ,no,Indeclinable; always italic. New lemma.
бхакти,бхакти,6,Воспоминания; ШЧМ,yes,Already glossary lemma.
бхаджан,бхаджан|бхаджана|бхаджаны|бхаджану|бхаджанов,9,Вамшидаса; Воспоминания,no,Standalone Sanskrit term; always italic. New lemma.
бабаджи,бабаджи,4,Вамшидаса; Воспоминания,yes,Already glossary lemma.
кришна-према,кришна-премы|кришна-прему|кришна-премой,8,Вамшидаса; ШЧМ,no,Krishna-compound; italic. New lemma.
садхана,садхане,4,Вамшидаса; Воспоминания,yes,Already glossary lemma.
санньяси-майявади,санньяси-майявади,4,ШЧМ,yes,Already glossary lemma.
аватара,аватары|аватар|аватарой|аватара,7,ШЧМ,yes,Already glossary lemma.
адвайта-вада,адвайта-вада|адвайта-ваду,4,ШЧМ,no,Philosophical school term; italic. New lemma.
джапа,джапу|джапы,6,Воспоминания; ШЧМ,yes,Already glossary lemma.
джива,джива|дживы,4,Вамшидаса; ШЧМ,no,Soul; always italic. New lemma.
йог,йоги|йога|йогой|йогу|йогами,7,Вамшидаса; Воспоминания; ШЧМ,no,Mystic; roman in prefixed forms. New lemma.
каратал,каратал|каратала|караталы|караталах,4,Воспоминания; ШЧМ,no,Hand cymbals; always italic. New lemma.
кришна-бхакти,кришна-бхакти,3,Вамшидаса; Воспоминания; ШЧМ,yes,Already glossary lemma.
лила,лилы|лилах|лила|лиле|лилу|лилой,9,Вамшидаса; Воспоминания; ШЧМ,no,Pastime; always italic. New lemma (NOT in glossary).
мадхукари,мадхукари,3,Вамшидаса,no,Begging custom; always italic. New lemma.
манджари,манджари,3,Вамшидаса,no,Gopi attendant; always italic. New lemma.
мриданга,мриданге|мриданг|мриданга|мридангу,8,Вамшидаса; Воспоминания; ШЧМ,no,Drum; always italic. New lemma.
пранами,пранами,3,Вамшидаса,no,Offering; always italic. New lemma.
харинама,харинамы|харинаму,4,Вамшидаса; Воспоминания,no,Holy name; always italic. New lemma.
бхагавата,бхагавата,2,ШЧМ,no,Devotee/book term; italic. New lemma.
веданта,веданты|веданту,5,ШЧМ,yes,Already glossary lemma (scripture).
вьясасана,вьясасане|вьясасаны|вьясасана,5,Воспоминания,no,Seat of Vyasa; always italic. New lemma.
дева-даси,дева-даси,3,ШЧМ,no,Temple dancers; always italic. New lemma.
кришна-катха,кришна-катху|кришна-катхой,3,ШЧМ,no,Krishna-compound; italic. New lemma.
кришна-лила,кришна-лиле|кришна-лилы|кришна-лилу|кришна-лилах,5,Вамшидаса; ШЧМ,no,Krishna-compound; italic. New lemma.
матха,матха,2,Вамшидаса,no,Monastery; italic. New lemma.
маха-бхагавата,маха-бхагаваты,2,Вамшидаса; Воспоминания,no,Great devotee; italic. New lemma.
мукти,мукти,2,Вамшидаса; ШЧМ,no,Liberation; always italic. New lemma.
пуджари,пуджари,2,Воспоминания,no,Priest; always italic. New lemma.
рамануджа-садху,рамануджа-садху,2,Вамшидаса,no,Sampradaya-name compound; whole compound italic (Decision 013).
раса,раса,2,ШЧМ,no,Mellow / rasa dance; italic. New lemma.
раса-лила,раса-лиле|раса-лилу,3,ШЧМ,no,Krishna pastime; italic. New lemma.
садхана-бхакти,садхана-бхакти,2,Вамшидаса; Воспоминания,no,Regulated devotion; italic compound.
сандхья-вандана,сандхья-вандана,2,ШЧМ,no,Daily prayers; italic compound.
