name,category,capitalization_note,hyphenation_note,italic_note,declension_note,notes
Индивидуальные астрономические названия,rule,С прописной буквы,,,,"Индивидуальные астрономические названия пишутся с прописной буквы."
Многословные астрономические названия,rule,"С прописной все слова, кроме родовых (звезда, комета, созвездие, планета, астероид), порядковых обозначений светил (альфа, бета, гамма) и служебных слов",,,,"Например: альфа Малой Медведицы, Капелла Возничего, Млечный Путь, созвездие Большого Пса. Названия местностей на космических телах: Залив Радуги, Море Дождей, Океан Бурь (на Луне). Галактика (наша) — с прописной, но: отдаленные галактики."
Солнце / Луна / Земля,rule,"С прописной как астрономические названия (планета Земля), со строчной не как астрономические (обработка земли, закат солнца)",,,,"Слова Солнце, Луна, Земля пишутся с прописной только в значении астрономических названий."
дхама (астрономические),rule,Слово «дхама» со строчной,Через дефис,Прямым шрифтом,Первая часть не склоняется,"«повелитель Голока-дхамы». Названия со словом дхама — дхама со строчной, прямым, через дефис; первая часть не склоняется."
лока (планеты),rule,,Слитно,,,"Названия планет со словом «лока» пишутся слитно: Голока, Дхрувалока."
Круглые планеты,rule,,,,,"Планеты, начиная с Голоки, действительно круглые, в отличие от двип (dvipas)."
брахмаджьоти,rule,Со строчной,,Курсив,,"Среднего рода."
брахма-лока / Брахмалока,astronomical,"Сияние Брахмана — со строчной; планета — с прописной","Сияние — через дефис; планета — слитно","Сияние — курсивом; планета — прямым",,"Если сияние Брахмана: курсивом, через дефис, со строчной (брахма-лока). Если планета: прямым, слитно, с прописной (Брахмалока)."
брахманда,rule,Со строчной,,Курсив,,
Бхарата-Варша,astronomical,Оба слова с прописной,Через дефис,Прямым,,
Вайкунтха,astronomical,С прописной,,Прямым,"Склоняется: на Вайкунтхе, Вайкунтхой, царство Вайкунтхи","«планеты Вайкунтхи» стараемся не употреблять в косвенных падежах (не «планет Вайкунтх»); можно «планет Вайкунтхи», «Вайкунтх» или «планет-Вайкунтх»."
"Вираджа (река, астрономическое)",astronomical,С прописной,,,Склоняются оба слова,"В словосочетании «река Вираджа» склоняются оба слова."
Вселенная,rule,"Со строчной — о нашей вселенной (их много); с прописной — обо всём / Бог как Владыка Вселенной",,,,"Особое правило русских книг Би-би-ти. У Брахмы нашей вселенной 4 головы."
вселенский океан,astronomical,Оба слова со строчной,,,,
Голока Вриндавана,astronomical,Оба слова с прописной,Через пробел,Прямым,Склоняются оба слова,"«попадет на Голоку Вриндавану»."
Голока-дхама,astronomical,Первое слово с прописной,Через дефис,Прямым,,
двипа,rule,Со строчной,,Курсив,,
Деви-дхама,astronomical,Первое слово с прописной,Через дефис,Прямым,,"Это материальный мир."
Земля (астрономическое),astronomical,"Мир, где живут люди — со строчной; планета — с прописной",,,,
зодиак,rule,Со строчной,,Прямым,,"знаки зодиака."
Маха-Вишнулока,astronomical,Оба слова с прописной,Через дефис,,,
Махеша-дхама (астрономическое),astronomical,Первое слово с прописной,Через дефис,Прямым,,
Млечный Путь,astronomical,Оба слова с прописной,,,,
Молочный океан,astronomical,Первое слово с прописной,,,,
океан Карана,astronomical,"«Карана» с прописной, «океан» со строчной",,,,
паравьома,rule,Со строчной,,Курсив,,
Полярная звезда,astronomical,С прописной только первое слово,,,,
Причинный океан,astronomical,Первое слово с прописной,,,,
Хари-дхама,astronomical,Первое слово с прописной,Через дефис,Прямым,,"Это Вайкунтхалока."
Шива-дхама (астрономическое),astronomical,Первое слово с прописной,Через дефис,Прямым,,
Названия континентов,rule,С прописной буквы,,,,"По словарям последних лет: Африканский континент, Азиатский континент, Американский континент, Северо-Американский континент. «Черный континент» (об Африке) — без кавычек."
Географические названия в СНГ,rule,,,,,"В русском языке почти везде сохранились старые названия государств и столиц (нормы русского языка)."
«в Украине» / «на Украине»,rule,,,,,"Сочетания «в Украине», «в Украину» некорректны. Правильно — «на Украине», «на Украину»."
Бангладеш,geographic,,,,Несклоняемое,
Гагра / Гагры,geographic,,,,"Гагра, в Гагру, в Гагре","Форма множ. числа Гагры — неофициальное устаревшее наименование."
Дубай,geographic,,,,Склоняется: в Дубае,
Малайзия,geographic,,,,,"малайзийский (о языке) и малайский (и о языке, и об относящемся к Малайзии или к малайцам)."
Малайя,geographic,,,,,"Это Западная Малайзия."
Малая Азия,geographic,,,,,"малоазиатский."
Новый Свет,geographic,Оба слова с прописной,,,,
Нью-Йорк,geographic,Оба слова с прописной,Через дефис,,,"нью-йоркский (не в названиях учреждений); Нью-Йоркский (в названиях учреждений: Нью-Йоркский филармонический оркестр); ньюйоркцы (слитно)."
Старый Свет,geographic,Оба слова с прописной,,,,
Таиланд,geographic,,,,,"Не «Тайланд». таиландский."
Шри-Ланка,geographic,Оба слова с прописной,Через дефис,,,"Современное официальное название острова и государства."
Азербайджан,geographic,,,,,"Полная форма: Азербайджанская Республика. Столица: Баку."
Армения,geographic,,,,,"Полная форма: Республика Армения. Столица: Ереван."
Беларусь,geographic,,,,,"Полная форма: Республика Беларусь. Столица: Минск. В неофиц. речи — «Белоруссия». Прилагательное от обеих форм — «белорусский»."
Грузия,geographic,,,,,"Полная форма: Республика Грузия. Столица: Тбилиси."
Казахстан,geographic,,,,,"Полная форма: Республика Казахстан. Столица: Алма-Ата."
Киргизия,geographic,,,,,"Полная форма: Киргизская Республика. Столица: Бишкек."
Латвия,geographic,,,,,"Полная форма: Латвийская Республика. Столица: Рига."
Литва,geographic,,,,,"Полная форма: Литовская Республика. Столица: Вильнюс."
Молдавия,geographic,,,,,"Полная форма: Республика Молдова. Столица: Кишинев. В неофиц. речи — «Молдавия»."
Таджикистан,geographic,,,,,"Полная форма: Республика Таджикистан. Столица: Душанбе."
Туркмения,geographic,,,,,"Полная форма: Туркменистан. Столица: Ашхабад."
Узбекистан,geographic,,,,,"Полная форма: Республика Узбекистан. Столица: Ташкент."
Украина,geographic,,,,,"Столица: Киев. Правильно «на Украине», «на Украину»."
Эстония,geographic,,,,,"Полная форма: Эстонская Республика. Столица: Таллин."
Составные индийские названия,rule,"С прописной все слова, кроме родовых понятий, служебных слов и некоторых других",,,,"Общее правило для русских книг Би-би-ти; написание не всегда совпадает с орфографическими словарями и атласами."
дхама / тиртха / ашрам (индийские),rule,"Эти слова — со строчной",,Прямым,"Со словом «тиртха» склоняется только вторая часть: «побывал в Чакра-тиртхе»","Акрура-тиртха. Названия со словами дхама, тиртха, ашрам — эти слова со строчной и прямым."
гхат,rule,Со строчной,,Прямым,,"Когда в составных названиях имеются в виду места для омовения."
дхама (индийские),rule,,Через дефис,Без курсива (прямым),,"Враджа-дхама, Дварака-дхама и т.д."
нагар / пур,rule,,"Короткое слово — слитно; слишком длинное — через дефис, обе части с прописной",,,"Если слово получается достаточно короткое — слитно; если слишком длинное — через дефис и обе части с прописной."
Вторая часть — имя собственное,rule,Обе части с прописной,Через дефис,,,"Если вторая часть названия — имя собственное (Шива-Ганга), то через дефис и обе части с прописной."
гири,rule,,Слитно,,,"Названия на «гири», даже не очень короткие, лучше писать слитно."
Канчи / Пури,rule,С прописной,Через дефис,,,"«Канчи», как и «Пури», всегда лучше через дефис и с прописной."
Буква «х» в названиях,rule,,,,,"В названиях мест на русском надо оставлять букву «х»: Кхеджура, а не Кеджура."
грама,rule,,,,,"Со словом «грама» на русском — тоже «грама», не «грам»: Нандаграма."
Названия лесов (ван),rule,,,,,"Названия лесов заканчиваются на «ван», а не на «вана»: Талаван."
Переименованные индийские города,rule,,,,,"Бомбей → Мумбаи (с 1997), Мадрас → Ченнаи (с 1996), Калькутта → Колката (с янв. 2001). Для событий до переименования — желательно старое название."
Мумбаи,indian_geographic,,,,Не склоняется,"Бывш. Бомбей (переименован в 1997)."
Ченнаи,indian_geographic,,,,Не склоняется,"Бывш. Мадрас (переименован в 1996)."
Колката,indian_geographic,,,,Склоняется по общему правилу,"Бывш. Калькутта (переименована в январе 2001)."
южноиндийский,rule,Со строчной,Слитно,,,
Авантипур,indian_geographic,,,,,
Агастья-Малая,indian_geographic,,Через дефис,,,
Адаила,indian_geographic,,,,,
Аджанабха-Варша,indian_geographic,,Через дефис,,,
Адишвара,indian_geographic,,,,,
Адхирудха,indian_geographic,,,,,
Алаланатха,indian_geographic,,,,,
Аллахабад,indian_geographic,,,,,
Алмазная гавань,indian_geographic,Первое слово с прописной,,,,
Альвар-Тирунагарай,indian_geographic,,Через дефис,,,
Амара-Диргхика,indian_geographic,,Через дефис,,,
Анагада-Малая-Парвата,indian_geographic,,Через дефис,,,
Ананта-Саровара,indian_geographic,,Через дефис,,,
