title,type,quotes,italic,capitalization_note,diacritics_note,abbreviation,notes
"Прописная/строчная: песни «Шримад-Бхагаватам»",rule,no,no,"«песнь» со строчной, номер песни (Первая, Десятая) с прописной",,,"Названия песней пишутся с прописной без кавычек: Первая песнь, Десятая песнь. Множественное число: «в Третьей, Четвертой, Пятой… песнях». Слово «песнь» ставить в конец, избегать «Песни Третьей, Четвертой…»"
"Прописная/строчная: глава и номер главы",rule,,,"«глава» и номер главы со строчной, кроме начала предложения",,,"Пример: «…к тринадцатой главе Ади-лилы «Шри Чайтанья-чаритамриты»…»"
"Прописная/строчная: имя собственное в названии",rule,,,"имя собственное с прописной даже после дефиса",,,"Примеры: «Брихан-Нарадия-пурана», «Гита-Говинда»"
"Курсив/прямой шрифт: названия книг",rule,,no,,,,"Названия книг набираются прямым шрифтом. Исключение: ссылка на источник прямо под транслитерацией цитируемого стиха набирается курсивом"
"Курсив/прямой шрифт: названия частей книги",rule,no,no,,,,"Курсив не нужен в названиях частей книги: Ади-лила, Сабха-парва «Махабхараты», Уттара-кханда «Падма-пураны»"
"Знаки диакритики в названиях книг",rule,,,,"в названиях книг диакритика не ставится",,"В русских книгах Би-би-ти знаки диакритики в названиях книг не ставятся"
"Слово «Шри» в начале названия",rule,,,,,,"«Шри» в начале названия ставится только если есть в английском тексте. После «Шри» перед названием — пробел, а не дефис"
"Слово «Шримад» перед «Бхагавад-гита»",rule,,,,,,"«Шримад» перед «Бхагавад-гита» ставится только если есть в английском тексте. После — пробел, а не дефис"
"«Шри-бхашья» (исключение)",scripture,yes,no,,,,"Пишется через дефис, т.к. «Шри» означает Шри-сампрадаю, а не приставку почтения"
"Веды/Упанишады/Пураны/Тантры/Сутры/Самхиты/Итихасы/Араньяки как класс",rule,no,no,"как класс произведений — с прописной",,,"Класс произведений: Пураны — с прописной, без курсива и кавычек"
