term,english_form,russian_form,type,capitalization_note,hyphenation_note,italic_note,diacritics_note,notes
даса,даса,дас,name,,,,,"EN-окончание ""даса"" → RU ""дас"" (также в окончаниях); в кодексе помечено ""не всегда?"""
Пандита,Пандита,Пандит,name,,,,,"EN ""Пандита"" → RU ""Пандит"""
Сена,Сена,Сен,name,,,,,"EN ""Сена"" → RU ""Сен"""
Гхоша,Гхоша,Гхош,name,,,,,"EN ""Гхоша"" → RU ""Гхош"""
Тхакура,Тхакура,Тхакур,name,,,,,"EN ""Тхакура"" → RU ""Тхакур"""
Райа,Райа,Рай,name,,,,,"EN ""Райа"" → RU ""Рай"""
Кхан,Кхан,Хан,name,,,,,"EN ""Кхан"" → RU ""Хан"""
Васудева,,,name,,,,без диакритики,"Если речь идёт об отце Господа Кришны — без диакритики: Васудева"
Ва̄судева,,,name,,,,с диакритикой,"Если речь идёт о Самом Господе Кришне — с диакритикой: Ва̄судева. Если не имеется в виду Господь, но в англ. тексте есть диакритика, она сохраняется и в русском"
Пандит,,,title,"После имени — прямым с прописной: Шриман Пандит. Перед именем — обычно прямым с прописной: Пандит Чанакья, Пандит Гададхара, Пандит Вакрешвара. В обычной литературе как часть имени: Пандит Неру",,"В контексте ""прославленного пандита Рагхунатхи Широмани"" — лучше курсивом",,"Слово ""пандит"" перед именем в книгах Шрилы Прабхупады встречается редко"
Шри,,,honorific,,"После слова ""Шри"" нужен пробел, а не дефис: ""храм Шри Шри Радхи-Кришны""",,,
Брахман,,,component,,"в составных именах пишется отдельно (раздельно)",,,
Бхатта,,,component,,"в составных именах пишется отдельно (раздельно)",,,
Випра,,,component,,"в составных именах пишется отдельно (раздельно)",,,
Брахмачари,,,component,,"в составных именах пишется отдельно (раздельно)",,,
Тиртха,,,component,,"в составных именах пишется отдельно (раздельно)",,,
Тхакур,,,component,,"в составных именах пишется отдельно (раздельно)",,,
Мишра,,,component,,"в составных именах пишется отдельно (раздельно)",,,
Гупта,,,component,,"в составных именах пишется отдельно (раздельно)",,,
Госвами,,,component,,"в составных именах пишется отдельно (раздельно)",,,
Рай,,,component,,"в составных именах пишется отдельно (раздельно)",,,"Слово ""Рай"" в составных именах склоняется"
Бхарата,,,component,,"в составных именах пишется отдельно (раздельно)",,,
Бхарати,,,component,,"в составных именах пишется отдельно (раздельно)",,,
Пури,,,component,,"в составных именах пишется отдельно (раздельно)",,,
Госани,,,component,,"в составных именах пишется отдельно (раздельно)",,,"не: Гошани"
Саварни,,,component,,"в именах пишется через дефис: Брахма-Саварни Ману",,,
Прописные в составных именах,,,rule,"Согласно правилам русского языка все части составных имён пишутся с прописной: Санат-Кумар, Мадана-Мохан",,,,
Склонение имён двух личностей,,,rule,,"Если через дефис даны имена двух разных личностей — склонять оба (если оба склоняются): Радхе-Кришне, Кришне-Балараме, Нитаю-Гаурачандре, Гауре-Нитаю",,,"Если всё имя относится к одной личности — первую часть не склонять: Гаура-Кришне, Радха-Рамане"
Суффикс джи,,,rule,,,,,"Если в имени есть суффикс ""джи"", имя не склоняется: ""отведал сладкого риса, предложенного Гопинатхаджи"""
Агнидева,,,name,,,,,
Адвайта Прабху,,,name,,,,,
Адвайтачандра,,,name,,,,,
Адидева,,,name,,,,,
Ади-Кешава,,,name,,,,,
Аджайкапат,,,name,,,,,
Акаша-Линга,,,name,,,,,
Амрита-Линга,,,name,,,,,
Ананда Тиртха,,,name,,,,,
Ананта Ачарья,,,name,,,,,
Ананта-Нага,,,name,,,,,
Анантадева,,,name,,,,,
Анантадева Шеша,,,name,,,,,
Анантагуна Пандья,,,name,,,,,
Ананта Шеша-Нага,,,name,,,,,
Апараджита,,,name,,,,,
Апракрита-Мадана,,,name,,,,,
Арьядеви,,,name,,,,,
Ахибрадхна,,,name,,,,,
Аховала-Нрисимха,,,name,,,,,
Ачарья Нандана,,,name,,,,,
Ачарья Пурандара,,,name,,,,,
Ачьютананда,,,name,,,,,
Ачьюта Прекша,,,name,,,,,
Ашваттхама,,,name,,,,,
Балабхадра,,,name,,,,,
Бала-Гопала,,,name,,,,,"первое слово не склоняется"
Баладева Видьябхушана,,,name,,,,,
Баларама,,,name,,,,,
Баллал Сен,,,name,,,,,
Бахурупа,,,name,,,,,
Билвамангала,,,name,,,,,
Бимал Прасад Датта,,,name,,,,,
Бинду-Мадхава,,,name,,,,,
Брахма-Саварни Ману,,,name,,,,,
Будда,,,name,,,,,"всегда. ""Буддха"" может быть только в транслитерации"
Бхагиратха,,,name,,,,,
Бхадра Кали,,,name,,,,,"первое слово склоняется"
Бхайрава,,,name,,,,,
Бхайрави,,,name,,,,,"также: Бхайравидеви"
Бхайравидеви,,,name,,,,,
Бхакта-Ватсала,,,name,,,,,
Бхаргава Парашурама,,,name,,,,,
Бхаттачарья,,,name,,,,,
Бхригу,,,name,,,,,"знаменитый мудрец"
Бхригупати,,,name,,,,,
Бхрингара,,,name,,,,,
Бху-Вараха,,,name,,,,,
Бхутаджьоти,,,name,,,,,
Бхутанатха,,,name,,,,,
Вагвиджая Бхатта,,,name,,,,,
Ваджрангаджи,,,name,,,,,
Вайвасвата Ману,,,name,,,,,
Вайшампаяна,,,name,,,,,
Вайшвадева,,,name,,,,,
Вайясаки,,,name,,,,,
Валлабха Бхаттачарья,,,name,,,,,
Валлабха Сен,,,name,,,,,
Валлабхачарья,,,name,,,,,
Валмики,,,name,,,,,
Ваманадева,,,name,,,,,
Вани Кришнадас,,,name,,,,,
Ванинатха Паттанаяка,,,name,,,,,
Ванинатха Рай,,,name,,,,,
Варадараджа,,,name,,,,,
Варахадева,,,name,,,,,
Варунадева,,,name,,,,,
Варутхапа,,,name,,,,,
Ва̄судева Гхош,,,name,,,,с диакритикой,"первая буква с диакритикой (Ва̄судева)"
Ва̄судева Датта,,,name,,,,с диакритикой,"первая буква с диакритикой (Ва̄судева)"
Васудева-Амрита-Прада,,,name,,,,,
Ваю-Линга Шива,,,name,,,,,
Ведавьяса,,,name,,,,,
Ведагиришвара,,,name,,,,,
Веданта-Дешика,,,name,,,,,
Вени-Мадхава,,,name,,,,,
Венката Бхатта,,,name,,,,,
Венкатешвара,,,name,,,,,
Виджая-Сакха,,,name,,,,,
Виджули Хан,,,name,,,,,
Видья-Вачаспати,,,name,,,,,"первое слово не склоняется"
Видьянидхи Ачарья,,,name,,,,,
Виттхалешвара,,,name,,,,,
Витхаладева,,,name,,,,,"это Господь Вишну с двумя руками"
Витхала Тхакур,,,name,,,,,"это Витхала, Божество"
Вишвадева,,,name,,,,,
Вишванатха,,,name,,,,,
Вишва-Пуджита,,,name,,,,,
Вишвешвара,,,name,,,,,
Вишнудас,,,name,,,,,
Шримати Вишнуприя-деви,,,name,,,,,
Враджа-Кишора,,,name,,,,,
Враджендра-Нандана,,,name,,,,,"также: Враджендра-Нандана Хари"
Враджендра-Нандана Хари,,,name,,,,,
Вриндаван дас Тхакур,,,name,,,,,
Вриндадеви,,,name,,,,,
Вьясатмаджа,,,name,,,,,
Гангадас,,,name,,,,,
Ганга-Нараяна Чакраварти,,,name,,,,,
Гандини,,,name,,,,,
Гарга Муни,,,name,,"пишется раздельно: Гарга Муни",,,"не: Гаргамуни. Первое слово склоняется"
Гаруда-Вахана,,,name,,,,,
Шрила Гауракишора дас Бабаджи,,,name,,,,,
Гаура-Кришна,,,name,,,,,"первая часть не склоняется"
Гаура-Нитай,,,name,,,,,"первая часть склоняется"
Гаура-Нитьянанда,,,name,,,,,"первая часть склоняется"
Гаурахари,,,name,,,,,
Гаурачандра,,,name,,,,,
Гиридхари,,,name,,,,,
Говинда Гхош,,,name,,,,,
Говинда Датта,,,name,,,,,
Говиндадева,,,name,,,,,
Говинда-Мохини,,,name,,,,,
Шри Говиндананда,,,name,,,,,
Говинда-Нандини,,,name,,,,,
Говиндараджа,,,name,,,,,
Гокулананда,,,name,,,,,
Гокулешвари,,,name,,,,,
Гопала,,,name,,,,,
Гопала Гуру Госвами,,,name,,,,,
Гопала-Свидетель,,,name,,,,,"это Сакши-Гопала"
Гопала Чапала,,,name,,,,,"первое слово склоняется"
Гопиджана-Валлабха,,,name,,,,,
Гопинатха,,,name,,,,,
Госани,,,name,,,,,"не: Гошани. Пример: Сварупа Дамодара Госани"
Гунараджа Хан,,,name,,,,,
Шри Гунарнава Мишра,,,name,,,,,
Гханашьяма дас,,,name,,,,,
Гхош Тхакур,,,name,,,,,
Гхритачи,,,name,,,,,
Гьянасиндху,,,name,,,,,
Дабир Кхас,,,name,,,,,
Дакша-Саварни Ману,,,name,,,,,
Дамагхоша,,,name,,,,,
Дамодара,,,name,,,,,
Двиджа Камалаканта,,,name,,,,,
Двайпаяна Ведавьяса,,,name,,,,,
Дваракадхиша,,,name,,,,,
Двиджа Харидас,,,name,,,,,
Дева-Саварни Ману,,,name,,,,,
Девашрештха Трьямбака,,,name,,,,,
Деви Дурга,,,name,,,,,
Джагадишвара,,,name,,,,,
Джарасандха,,,name,,,,,
Дикшита Махараджа,,,name,,,,,"возглавляет сейчас сампрадаю Валлабхи Бхаттачарьи в Бомбее (""сампрадаю"" — курсивом)"
Шрила Джаганнатха дас Бабаджи,,,name,,,,,
Джаганнатхадева,,,name,,,,,
Джаганнатха Махити,,,name,,,,,
Махараджа Джагатдживана Рао Сахиб,,,name,,,,,
Джагатпати,,,name,,,,,
Джананиваса,,,name,,,,,
Джаядева Госвами,,,name,,,,,
Джаядхарма,,,name,,,,,
Джаятиртха,,,name,,,,,
Джаяшри,,,name,,,,,
Дурьйодхана,,,name,,,,,
Дхананджая,,,name,,,,,
Дханвантари,,,name,,,,,
Дхармараджа,,,name,,,,,
Дхритараштра,,,name,,,,,
Дхриштадьюмна,,,name,,,,,
Дхриштакету,,,name,,,,,
Дхрува,,,name,,,,,
Дхумракша,,,name,,,,,
Дхундхумара,,,name,,,,,
Индрапрамада,,,name,,,,,
Индра-Саварни Ману,,,name,,,,,
Йогамайя,,,name,,,,,
Шри Йогамайя-деви,,,name,,,,,
Йогананда Нрисимхадева,,,name,,,,,
Йогешвара,,,name,,,,,
Кави Карнапура,,,name,,,,,
Кави Риши,,,name,,,,,
Кала Кришнадас,,,name,,,,,"первое слово склоняется"
Калия Кришнадас,,,name,,,,,"первое слово не склоняется"
Кама-Дева,,,name,,,,,"в источнике помечено ""???Кама-Дева"" (сомнение); также форма: Камадева"
Камадева,,,name,,,,,"вариант написания Кама-Дева"
Камалаканта,,,name,,,,,
Канани Кутия,,,name,,,,,
Каньякумари,,,name,,,,,
Капидхваджа,,,name,,,,,
Карабхаджана,,,name,,,,,
Карана-Вишну,,,name,,,,,
Карандхама,,,name,,,,,
Картавирьярджуна,,,name,,,,,
Карттикея,,,name,,,,,
Каши Мишра,,,name,,,,,
Кашираджа,,,name,,,,,
Кашишвара Госвами,,,name,,,,,
Кришна-Баларама,,,name,,,,,"первое слово склоняется"
Кришнадас,,,name,,,,,
Кришнадас Кавираджа,,,name,,,,,
Кришна-Двайпаяна Вьяса,,,name,,,,,"склоняются все три слова"
Кришна-Дживани,,,name,,,,,
Кришнасампатти Чаттопадхьяя,,,name,,,,,
Кунтидеви,,,name,,,,,
Кшира-Чора-Гопинатха,,,name,,,,,
Лакшмана,,,name,,,,,
Лакшмана Дикшита,,,name,,,,,
Лакшмидеви,,,name,,,,,
Лакшмипати,,,name,,,,,
Лакшми-Чанчала,,,name,,,,,
Ланга-Ганеша,,,name,,,,,
Локанатха дас Госвами,,,name,,,,,
Лочана дас Тхакур,,,name,,,,,
Мадана-Гопала,,,name,,,,,
Мадана-Мохан,,,name,,,,,
Мадана-Мохана-Мохини,,,name,,,,,
Мадхава Гхош,,,name,,,,,
Мадхавендра Пури,,,name,,,,,
Мадхавидеви,,,name,,,,,
Мадхудвиша,,,name,,,,,
Мадхупати,,,name,,,,,
Мадхусудана,,,name,,,,,
Мадхьягеха,,,name,,,,,
Майявати,,,name,,,,,
Майя Данава,,,name,,,,,
Малликарджуна,,,name,,,,,
Маниман,,,name,,,,,
Манматха-Мадана,,,name,,,,,
Махабалешвара,,,name,,,,,
Маха-Вайкунтханатха,,,name,,,,,
Маха-Вишну,,,name,,,,,
Махадева,,,name,,,,,
Махадеви,,,name,,,,,
Махакали,,,name,,,,,
Махамайя,,,name,,,,,
Махамуни Вьяса,,,name,,,,,
Маха-Санкаршана,,,name,,,,,
Махешвара,,,name,,,,,
Минакши-Деви,,,name,,,,,
Мохини-Мурти,,,name,,,,,
Муралидхара,,,name,,,,,
Мурари Махити,,,name,,,,,
Нанда-Нандана,,,name,,,,,
Нандишвара,,,name,,,,,
Нарададева,,,name,,,,,
Нара-Нараяна,,,name,,,,,"склоняются оба слова"
Нара-Нараяна Риши,,,name,,,,,
Нарасимха,,,name,,,,,"Господь"
На̄расимха,,,name,,,,с диакритикой,"Прахлада Махараджа; первая буква с диакритикой (На̄расимха)"
Шри Нарахари Чакраварти,,,name,,,,,
Нараяна Риши,,,name,,,,,
Нараяна-Чандра Гхош,,,name,,,,,
Нароттама дас Тхакур,,,name,,,,,
Нартака Гопала,,,name,,,,,
Натараджа,,,name,,,,,
Нилакантха,,,name,,,,,
Нила-Мадхава,,,name,,,,,
Нитай-Гаура,,,name,,,,,"первое слово склоняется"
Нитай-Гаурачандра,,,name,,,,,"первое слово склоняется"
Нитьянанда Прабху,,,name,,,,,
Шри Нитьянанда Рама,,,name,,,,,
Нрисимхадева,,,name,,,,,
Падичхапатра Туласи,,,name,,,,,"также: Туласи Падичхапатра"
Туласи Падичхапатра,,,name,,,,,
Падманабха,,,name,,,,,
Пана-Нрисимха,,,name,,,,,
Панакал-Нарасимха,,,name,,,,,
Панкаджанабхи,,,name,,,,,
Парамананда Киртания,,,name,,,,,
Парамбрахма,,,name,,,,,
Парамешвара,,,name,,,,,
Парамештха,,,name,,,,,
Партха-Сакха,,,name,,,,,
Партха-Саратхи,,,name,,,,,
Паурнамаси,,,name,,,,,
Праламбари Баларама,,,name,,,,,
Пратапарудра-Сантрата,,,name,,,,,
Пративьома,,,name,,,,,
Пришнигарбха,,,name,,,,,
Пурушоттама,,,name,,,,,
Пушпа-Бана,,,name,,,,,
Рагхунандана,,,name,,,,,
Рагхунатха,,,name,,,,,
Рагхупати Упадхьяя,,,name,,,,,
Раджпут Кришнадас,,,name,,,,,
Шри Радха-Говиндадева,,,name,,,,,"""Радха"" склоняется"
Шри Радха-Гопинатхаджи,,,name,,,,,"""Радха"" склоняется"
Радха-Кришна,,,name,,,,,"также: Шри-Шри-Радха-Кришна; ""Радха"" склоняется"
Шри-Шри-Радха-Кришна,,,name,,,,,"""Радха"" склоняется"
Шри Радха-Мадана-Мохан,,,name,,,,,"склоняется ""Радха"""
Радха-Париж-Ишвара,,,name,,,,,
Радха-Рамана,,,name,,,,,"первая часть не склоняется"
Райвата Ману,,,name,,,,,
Рама́,,,name,,,,"со знаком ударения над последней буквой","Так называют богиню процветания. Иногда так называют также Шримати Радхарани"
Рамадас,,,name,,,,,
Рамадеви,,,name,,,,,
Рама-Линга Шива,,,name,,,,,
Рамананда Васу,,,name,,,,,
Рамананда Рай,,,name,,,,,
Рамачандра,,,name,,,,,
Рамешвара,,,name,,,,,
Ранганатха,,,name,,,,,
Шри Ранга Пури,,,name,,,,,
Рантидева,,,name,,,,,
Ришабхадева,,,name,,,,,
Рохинидеви,,,name,,,,,
Рудра-Саварни Ману,,,name,,,,,
Рукмини-Рамана,,,name,,,,,
Ручиранана,,,name,,,,,
Саварни Ману,,,name,,,,,
Садананда Йогиндра,,,name,,,,,
Садашива,,,name,,,,,
Сакар Маллик,,,name,,,,,
Сакши-Гопала,,,name,,,,,
Санака-Кумар,,,name,,,,,
Санандана-Кумар,,,name,,,,,
Санатана-Кумар,,,name,,,,,
Санат-Кумар,,,name,,,,,
Санджая,,,name,,,,,
Сандипани Муни,,,name,,,,,
Санкаршана Ананта,,,name,,,,,
Сарвабхаума Бхаттачарья,,,name,,,,,
Сатраджит,,,name,,,,,
Сатьяраджа Хан,,,name,,,,,
Саубхари Риши,,,name,,,,,
Сахадева,,,name,,,,,
Сахасра-Вадана,,,name,,,,,
Сварочиши Ману,,,name,,,,,
Сварупа Дамодара,,,name,,,,,"также: Дамодара Сварупа"
Дамодара Сварупа,,,name,,,,,
Сваямбхува Ману,,,name,,,,,
Сиддхартха Гаутама Будда,,,name,,,,,"местоимения, относящиеся к этому имени, пишутся со строчной"
Ситадеви,,,name,,,,,
Сомагири,,,name,,,,,
Стока-Кришна,,,name,,,,,
Субала,,,name,,,,,
Сударшаначарья,,,name,,,,,
Суйодхана,,,name,,,,,
Сундарешвара,,,name,,,,,
Сурья-Нараяна,,,name,,,,,
Тамаса Ману,,,name,,,,,
Тапана Мишра,,,name,,,,,
Тирумалая Бхатта,,,name,,,,,
Тота-Гопинатха,,,name,,,,,
Триадхишвара,,,name,,,,,
Тригунамайи,,,name,,,,,
Тринаяна,,,name,,,,,
Тринетра,,,name,,,,,
Трьямбака,,,name,,,,,
Тукарама,,,name,,,,,"также: Святой Тукарама"
Туласидеви,,,name,,,,,
Уддхарана Датта,,,name,,,,,
Уттамашлока,,,name,,,,,
Хайхая,,,name,,,,,
Харидас,,,name,,,,,
Харидас-младший,,,name,,,,,
Харидева,,,name,,,,,
Хари-Шаури Прабху,,,name,,,,,
Харишчандра,,,name,,,,,
Хуссейн Шах,,,name,,,,,"также: набоб Хуссейн Шах; слово ""Хуссейн"" склоняется"
Чайтаньянанда Бхарати,,,name,,,,,
Чайтанья-Чандра,,,name,,,,,
Чакрадхара,,,name,,,,,
Чакшус,,,name,,,,,
Чакшуша,,,name,,,,,
Чандидас,,,name,,,,,
Чандрабхага,,,name,,,,,
Чандрашекхара,,,name,,,,,
Чаттопадхьяя,,,name,,,,,
Чатухсана-Кумары,,,name,,,,,
Чиранджива,,,name,,,,,
Чора-Парвати,,,name,,,,,
Чулли Бхатта,,,name,,,,,
Шалаграма-Вишну,,,name,,,,,
Шалаграма-Нараяна,,,name,,,,,
Шанкара-Нараяна,,,name,,,,,
Шатругхна,,,name,,,,,
Шатхимата,,,name,,,,,
Шаунака Муни,,,name,,,,,
Шаунака Риши,,,name,,,,,
Шачидеви,,,name,,,,,
Шачимата,,,name,,,,,
Шашибхушана Нийоги Махашая,,,name,,,,,
Швапхалка,,,name,,,,,
Швета-Вараха,,,name,,,,,
Шеша-Нага,,,name,,,,,"первая часть склоняется"
Шеша Санкаршана,,,name,,,,,
Шешашайи Вишну,,,name,,,,,
Шивананда Сен,,,name,,,,,
Шикхи Махити,,,name,,,,,
Шияли-Бхайрави,,,name,,,,,
Шмашана-Бхайрава,,,name,,,,,
Шраддхадева,,,name,,,,,
Шриваса,,,name,,,,,
Шридама,,,name,,,,,
Шридхара,,,name,,,,,
Шриканта,,,name,,,,,
Шриман Пандит,,,name,,,,,
Шриманта Баласахиб Пантха Махараджа,,,name,,,,,
Шриниваса,,,name,,,,,
Шрутадева,,,name,,,,,
Шубхананда,,,name,,,,,
Ягьешвара,,,name,,,,,
Ягьявалкья,,,name,,,,,
Ягьякету,,,name,,,,,
Ядунандана,,,name,,,,,
Якшараджа,,,name,,,,,
Ямараджа,,,name,,,,,
Яшодадеви,,,name,,,,,
Яшодамайи,,,name,,,,,
Яшодамата,,,name,,,,,
Яшода-Нандана,,,name,,,,,
