term,correct_form,capitalization,italic,hyphenation,quotes,discouraged_forms,notes
Абсолют,,"с прописной когда Господь/Абсолют, иначе строчная",,,,,"Это слово пишется с прописной, когда имеется в виду Сам Господь. В остальных случаях – со строчной."
Абсолютная Верховная Личность Бога,,,,,,,
Абсолютная Истина,,"с прописной когда Господь/Абсолют, иначе строчная",,,,,"Пишется с прописной, когда имеется в виду Господь. В других случаях – со строчной."
Абсолютная Личность,,"с прописной когда Господь/Абсолют, иначе строчная",,,,,"Пишется с прописной, когда имеется в виду Господь. В других случаях – со строчной."
Абсолютная Личность Бога,,,,,,,
Абсолютная Трансцендентная Истина,,,,,,,
Абсолютное Целое,,оба слова с прописной,,,,,"Оба слова с прописной, когда имеется в виду Господь. В других случаях со строчной."
Абсолютный Господь,,,,,,,
абхигья,,,yes,,,,Курсив.
абхидхея,,,yes,,,,Курсив.
абхиры,,,yes,,,,Племя. Пишется курсивом. В единственном числе – абхира.
авабхритха,,,yes,,,,Курсив.
авайшнав,,,yes,,,,Курсив.
аватара,,,conditional,,,,Это слово женского рода. Склоняется как одушевленное. Отдельное слово пишется курсивом. При сочетании с именем собственным – прямым шрифтом: Шеша-аватара.
агништома,,,yes,,,,Курсив.
агнихотра,,,yes,,,,Курсив.
агра-пуджа,,,yes,,,,Всё курсивом.
аграхаяна,,,yes,,,,Курсив.
ади-пуруша,,с прописной/строчной — см. notes,conditional,,,,"Как правило, это слово курсивом и со строчной. Но могут быть единичные случаи, где прямым с прописной."
адрес,,,,,,«Писать на адрес»,«Писать на адрес» – просторечно. Корректно – «писать по адресу».
адхокшаджа,,,yes,,,,Курсив.
акшаухини,,,yes,,,,Курсив. Это слово – женского рода.
альвары,,,yes,,,,Курсив.
альма-матер,,,,через дефис,,,Через дефис. Несклоняемое существительное женского рода.
анавасара,,,yes,,,,Курсив.
ангираса,,,yes,,,,Курсив. Жертвоприношение.
андхры,,,yes,,,,Племя. Пишется курсивом. В единственном числе – андхра.
аннакута,,,yes,,,,Курсив.
анна-прашана,,,yes,,,,Курсив.
антья,,,yes,,,,Курсив. Единица счисления. Род. падеж множественного числа – антьев.
апсары,,,no,,,,Прямой шрифт.
арати,,,yes,,,,Курсив.
аргхья,,,yes,,,,Курсив.
арджуна,,,yes,,,,Вид деревьев: «деревья арджуна». Пишется курсивом.
арий,,,yes,,,,Курсив. Родительный падеж множественного числа – ариев.
арча-мурти,,,yes,,,,Всё курсивом.
арьян,арий,,,,,,В русских текстах Би-би-ти не употребляется. Вместо него используется слово арий.
асамаурдхва,,,yes,,,,Курсив.
асур,,,yes,,,,Курсив.
ативади,,,yes,,,,Курсив. Название апасампрадаи.
атмананда / атмананди,,,,,,,"Различие: атмананда – это состояние, а атмананди – человек, пребывающий в этом состоянии."
атмарама,,,yes,,,«шлока атмарама»,"Курсив. В сочетаниях «стих тмрма» или «шлока тмрма» ставится диакритика. В сочетаниях типа «различные категории атмарам» диакритика не нужна. Если в тексте сказано «атмарама-шлока», а не «шлока атмарама», желательно отметить это место для редактора."
аула,,,yes,,,,Курсив. Название апасампрадаи.
аханграха-упасана /аханграхопасана,,,,,,,Оба варианта верны. В таких случаях можно просто следовать оригиналу.
ахимса,,,yes,,,,Курсив.
ачарья,,с прописной,conditional,,,,"Родительный падеж множественного числа – ачарьев. Когда речь идет о каком-то конкретном ачарье и это – одно из его имен, то слово «ачарья» - с прописной и прямым шрифтом: Шриниваса Ачарья. В остальных случаях отдельное слово «ачарья» пишется курсивом. В словосочетании «ачарья-основатель» слово «ачарья» – прямым."
ачарьядева,,,yes,слитно,,,"Слитно, курсив."
ачарья-основатель,,,no,через дефис,,,Оба слова прямым шрифтом. Через дефис. В этом словосочетании склоняются оба слова: «ачарьи-основателя».
ачинтья-бхедабхеда-таттва,,,,,,,
ашадха,,,yes,,,,Курсив.
ашвамедха,,,yes,,,,Курсив. Жертвоприношение.
ашвина,,,yes,,,,Курсив.
ашока,,,yes,,,,Курсив: «деревья ашока».
ашрам,,,conditional,,,,"Отдельно или в названиях ашрамов это слово – курсивом: брахмачари-ашрам, грихастха-ашрам. Но если оно в названиях мест, то прямым шрифтом."
ашрая-таттва,,,,,,,
аюрведический,,,,слитно,,,Слитно.
баба,,,yes,,,,Титул. Пишется курсивом.
бабаджи,,,yes,,,,Курсив.
бакула,,,yes,,,,Курсив.
баньян,,,no,,,,Прямой шрифт.
барбары,,,yes,,,,Курсив. Племя. Родительный падеж множественного числа – барбаров.
баула,,,yes,,,,Курсив. Название апасампрадаи.
бахирмукха,,,yes,слитно,,,Курсив. Слитно.
безличная ипостась,,,,,,,В русских книгах Би-би-ти не употребляется.
белла-нати,,,yes,,,,Курсив. Каста брахманов.
бель,,,yes,,,,Курсив. Пример: «дерево бель».
бенгали,,,no,,,,Существительное «бенгали» мужского рода. Пишется прямым шрифтом.
