id,lemma_ru,lemma_en,category,approved_form,declension_notes,italic_required,diacritics_policy,capitalization_notes,variants_found,preferred_source,source_examples,editor_decision,status,notes
term-00004,Абхишека,,philosophical_term,Абхишека,,conditional,no_diacritics_in_prose,,Абхишека [3],bvks_ru_chaitanya,vedabase_ru:adi/17/11/index.html:Абхишека | vedabase_ru:adi/17/advanced-view/index.html:Абхишека | bvks_ru_chaitanya:Служение/Переводы Гурумахарадж/Шри Чаитанйа/Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Абхишека — торжественная церемония омовения почитаемой личности,,needs_review,auto-generated draft
term-00010,арати,,philosophical_term,арати,,conditional,no_diacritics_in_prose,,арати [7] | Арати [2],bvks_ru_chaitanya,vedabase_ru:madhya/15/108/index.html:арати | vedabase_ru:madhya/15/advanced-view/index.html:арати | vedabase_ru:madhya/24/advanced-view/index.html:арати | vedabase_ru:madhya/24/advanced-view/index.html:Арати | vedabase_ru:madhya/19/5/index.html:арати,,needs_review,auto-generated draft
term-00013,ачарья,,personal_name,ачарья,,conditional,no_diacritics_in_prose,,ачарья [42] | ачарьями [30] | ачарьям [17] | Ачарья [10] | ачарьядевой [2],bvks_ru_chaitanya,vedabase_ru:bg/2/52/index.html:ачарья | vedabase_ru:bg/2/61/index.html:ачарья | vedabase_ru:bg/2/advanced-view/index.html:ачарья | vedabase_ru:bg/10/advanced-view/index.html:ачарья | vedabase_ru:bg/10/42/index.html:ачарья,,needs_review,auto-generated draft
term-00014,ашрам,,philosophical_term,ашрам,,conditional,no_diacritics_in_prose,,ашрамов [16] | ашраме [7] | ашраму [5] | ашрамами [3] | ашрама [2] | ашрамы [2] | ашрам [1] | Ашрам [1],bvks_ru_chaitanya,vedabase_ru:bg/3/7/index.html:ашрамов | vedabase_ru:bg/3/advanced-view/index.html:ашрамов | vedabase_ru:bg/8/28/index.html:ашраме | vedabase_ru:bg/8/11/index.html:ашраме | vedabase_ru:bg/8/advanced-view/index.html:ашраме,,needs_review,auto-generated draft
term-00016,Баларама,,personal_name,Баларама,,no,no_diacritics_in_prose,,Баларама [1],bvks_ru_chaitanya,bvks_ru_chaitanya:Служение/Переводы Гурумахарадж/Шри Чаитанйа/Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Баларама — брат Кришны; также является Верховной Личностью Бога,,draft,auto-generated draft
term-00021,брахман,,philosophical_term,брахман,,conditional,no_diacritics_in_prose,,брахманов [256] | брахмана [223] | брахман [187] | брахманом [151] | брахманы [116] | брахманам [73] | Брахман [42] | брахманами [40] | брахману [36] | Брахманы [27] | брахманах [6] | брахманде [6] | брахмане [5] | Брахманам [4] | Брахманом [4] | Брахмана [2] | брахмананду [2] | брахмананда [2] | брахманды [2] | Брахманов [2] | Брахману [2] | брахмананды [1] | брахманандой [1],bvks_ru_chaitanya,vedabase_ru:bg/7/15/index.html:брахмана | vedabase_ru:bg/7/13/index.html:брахманами | vedabase_ru:bg/7/23/index.html:брахманы | vedabase_ru:bg/7/advanced-view/index.html:брахманами | vedabase_ru:bg/7/advanced-view/index.html:брахмана,,needs_review,auto-generated draft
term-00032,брахмачари,,philosophical_term,брахмачари,,conditional,no_diacritics_in_prose,,брахмачари [103] | Брахмачари [18],bvks_ru_chaitanya,vedabase_ru:bg/6/13-14/index.html:брахмачари | vedabase_ru:bg/6/advanced-view/index.html:брахмачари | vedabase_ru:bg/16/advanced-view/index.html:брахмачари | vedabase_ru:bg/16/advanced-view/index.html:Брахмачари | vedabase_ru:bg/16/1-3/index.html:брахмачари,,needs_review,auto-generated draft
term-00036,бхакти,,philosophical_term,бхакти,,conditional,no_diacritics_in_prose,,бхакти [163] | Бхакти [13] | бхактим [2] | бхактимат [2],bvks_ru_chaitanya,vedabase_ru:bg/7/3/index.html:бхакти | vedabase_ru:bg/7/advanced-view/index.html:бхакти | vedabase_ru:bg/6/47/index.html:бхакти | vedabase_ru:bg/6/47/index.html:Бхакти | vedabase_ru:bg/6/advanced-view/index.html:бхакти,,needs_review,auto-generated draft
term-00067,Бхога,,philosophical_term,Бхога,,no,no_diacritics_in_prose,,Бхога [1],bvks_ru_chaitanya,"bvks_ru_chaitanya:Служение/Переводы Гурумахарадж/Шри Чаитанйа/Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Бхога — пища, которую подносят Божеству",,draft,auto-generated draft
term-00068,бхога-тьяга,,philosophical_term,бхога-тьяга,,yes,no_diacritics_in_prose,,бхога-тьяга [1],our_ru_success,our_ru_success:Служение/Переводы Гурумахарадж/Успех/Как_я_достигла_настоящего_успеха_FINAL.docx:бхога-тьяга,,draft,auto-generated draft
