id,normalized_key,lemma_ru,lemma_en,category,approved_form,declension_notes,italic_required,diacritics_policy,capitalization_notes,variants_found,preferred_source,source_examples,editor_decision,status,notes,conflict_flag,conflict_variants,conflict_sources,review_priority,suggested_action,decision,approved_form_override,category_override,italic_required_override,diacritics_policy_override,merge_into,review_notes
term-01146,ана̄ш́ритах̣,ана̄ш́ритах̣,,honorific,ана̄ш́ритах̣,,yes,needs_review,,ана̄ш́ритах̣ [2],vedabase_ru,vedabase_ru:index.html:ана̄ш́ритах̣,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-01952,асурам бхавам ашритах,асурам бхавам ашритах,,honorific,асурам бхавам ашритах,,yes,no_diacritics_in_prose,,асурам бхавам ашритах [2],vedabase_ru,vedabase_ru:index.html:асурам бхавам ашритах,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-02336,а̄ш́рийа̄чхе,а̄ш́рийа̄чхе,,honorific,а̄ш́рийа̄чхе,,yes,needs_review,,а̄ш́рийа̄чхе [2],vedabase_ru,vedabase_ru:index.html:а̄ш́рийа̄чхе,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-02337,ашрита,ашрита,,honorific,ашрита,,yes,diacritics_in_quotes_only,,а̄ш́рита [8] | ашрита [4] | Ашрита [2],vedabase_ru,vedabase_ru:index.html:а̄ш́рита | vedabase_ru:index.html:ашрита | vedabase_ru:index.html:Ашрита,,needs_review,auto-generated draft,yes,а̄ш́рита [8] | ашрита [4] | Ашрита [2],vedabase_ru [14],high,review,,,,,,,
term-02338,а̄ш́ритам,а̄ш́ритам,,honorific,а̄ш́ритам,,yes,needs_review,,а̄ш́ритам [2],vedabase_ru,vedabase_ru:index.html:а̄ш́ритам,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-02339,а̄ш́рита̄на̄м,а̄ш́рита̄на̄м,,honorific,а̄ш́рита̄на̄м,,yes,needs_review,,а̄ш́рита̄на̄м [1],vedabase_ru,vedabase_ru:index.html:а̄ш́рита̄на̄м,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-02340,а̄ш́ритах̣,а̄ш́ритах̣,,honorific,а̄ш́ритах̣,,yes,needs_review,,а̄ш́ритах̣ [8] | а̄ш́рита̄х̣ [6],vedabase_ru,vedabase_ru:index.html:а̄ш́рита̄х̣ | vedabase_ru:index.html:а̄ш́ритах̣,,needs_review,auto-generated draft,yes,а̄ш́ритах̣ [8] | а̄ш́рита̄х̣ [6],vedabase_ru [14],high,review,,,,,,,
term-02341,а̄ш́ритйа,а̄ш́ритйа,,honorific,а̄ш́ритйа,,yes,needs_review,,а̄ш́ритйа [6],vedabase_ru,vedabase_ru:index.html:а̄ш́ритйа,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-02793,бхавам ашритах,бхавам ашритах,,honorific,бхавам ашритах,,yes,no_diacritics_in_prose,,бхавам ашритах [1],vedabase_ru,vedabase_ru:index.html:бхавам ашритах,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-03881,вйапа̄ш́ритйа,вйапа̄ш́ритйа,,honorific,вйапа̄ш́ритйа,,yes,needs_review,,вйапа̄ш́ритйа [4],vedabase_ru,vedabase_ru:index.html:вйапа̄ш́ритйа,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
