id,normalized_key,lemma_ru,lemma_en,category,approved_form,declension_notes,italic_required,diacritics_policy,capitalization_notes,variants_found,preferred_source,source_examples,editor_decision,status,notes,conflict_flag,conflict_variants,conflict_sources,review_priority,suggested_action,decision,approved_form_override,category_override,italic_required_override,diacritics_policy_override,merge_into,review_notes
term-00023,абсолютная истина,Абсолютная Истина,,other,Абсолютная Истина,,no,no_diacritics_in_prose,,Абсолютная Истина [1],vedabase_ru,"vedabase_ru:index.html:Абсолютная Истина — это Шри Кришна, и искреннюю преданность Ему, проявляющуюся в чистой любви, можно обрести благодаря с",,draft,auto-generated draft,no,,,low,review,,,,,,,
term-00156,абхишека,абхишека,,other,абхишека,,conditional,no_diacritics_in_prose,,абхишека [5] | Абхишека [3],bvks_ru,vedabase_ru:index.html:абхишека | vedabase_ru:index.html:Абхишека | bvks_ru:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Абхишека — торжественная церемония омовения почитаемой личности,,needs_review,auto-generated draft,yes,абхишека [5] | Абхишека [3],vedabase_ru [7] | bvks_ru [1],medium,review,,,,,,,
term-00253,аватара,аватара,,other,аватара,,conditional,diacritics_in_quotes_only,,авата̄ра [153] | аватара [13] | Аватара [3],bvks_ru,vedabase_ru:index.html:аватара | vedabase_ru:index.html:авата̄ра | vedabase_ru:index.html:Аватара | bvks_ru:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Аватара — воплощение Верховного Господа в материальном мире,,needs_review,auto-generated draft,yes,авата̄ра [153] | аватара [13] | Аватара [3],vedabase_ru [168] | bvks_ru [1],medium,review,,,,,,,
term-01528,апарадха,Апарадха,,other,Апарадха,,conditional,diacritics_in_quotes_only,,апара̄дха [47] | Апарадха [1],bvks_ru,vedabase_ru:index.html:апара̄дха | bvks_ru:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Апарадха — оскорбление,,needs_review,auto-generated draft,yes,апара̄дха [47] | Апарадха [1],vedabase_ru [47] | bvks_ru [1],medium,review,,,,,,,
term-01592,аппроксимация,Аппроксимация,,other,Аппроксимация,,no,no_diacritics_in_prose,,Аппроксимация [1],bvks_ru,"bvks_ru:Shri_Bkhaktisiddkhanta_Vaybkhava_Tom1.docx:Аппроксимация – научный , состоящий в замене одних другими, в каком-то смысле близкими к исходным – прим. переводчика",,draft,auto-generated draft,no,,,low,review,,,,,,,
term-01666,арати,арати,,other,арати,,conditional,diacritics_in_quotes_only,,арати [16] | а̄рати [10] | Арати [1],bvks_ru,"vedabase_ru:index.html:а̄рати | vedabase_ru:index.html:арати | bvks_ru:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Арати — церемония поклонения Божеству Верховного Господа, во время которой Ему предлагают благовония, светильник, цветы,",,needs_review,auto-generated draft,yes,арати [16] | а̄рати [10] | Арати [1],vedabase_ru [26] | bvks_ru [1],medium,review,,,,,,,
term-02319,ашрам,ашрам,,other,ашрам,,conditional,no_diacritics_in_prose,,ашрам [13] | Ашрам [2],bvks_ru,"vedabase_ru:index.html:ашрам | vedabase_ru:index.html:Ашрам | bvks_ru:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Ашрам — место, где занимаются духовной практикой",,needs_review,auto-generated draft,yes,ашрам [13] | Ашрам [2],vedabase_ru [14] | bvks_ru [1],medium,review,,,,,,,
term-02445,баларама,Баларама,,other,Баларама,,conditional,diacritics_in_quotes_only,,балара̄ма [18] | Баларама [1],bvks_ru,vedabase_ru:index.html:балара̄ма | bvks_ru:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Баларама — брат Кришны; также является Верховной Личностью Бога,,needs_review,auto-generated draft,yes,балара̄ма [18] | Баларама [1],vedabase_ru [18] | bvks_ru [1],medium,review,,,,,,,
term-02480,бангийа сахитйа париш̣ад,Бангийа Сахитйа Париш̣ад,,other,Бангийа Сахитйа Париш̣ад,,no,needs_review,,Бангийа Сахитйа Париш̣ад [1],bvks_ru,bvks_ru:Shri_Bkhaktisiddkhanta_Vaybkhava_Tom1.docx:Бангийа Сахитйа Париш̣ад – Литературное сообщество Бенгалии,,draft,auto-generated draft,no,,,medium,review,,,,,,,
term-02504,барабанные палочки,барабанные палочки,,other,барабанные палочки,,no,no_diacritics_in_prose,,барабанные палочки [1],bvks_ru,"bvks_ru:Shri_Bkhaktisiddkhanta_Vaybkhava_Tom1.docx:Саджанā («барабанные палочки») – длинные, тонкие овощи, твёрдые и зелёные снаружи, мягкие и белые внутри; обычно их разж",,draft,auto-generated draft,no,,,low,review,,,,,,,
term-02567,без жены,Без жены,,other,Без жены,,no,no_diacritics_in_prose,,Без жены [2],vedabase_ru,"vedabase_ru:index.html:Без жены, — думал Господь Чайтанья, — жизнь домохозяина лишена смысла». Так Господь решил жениться",,draft,auto-generated draft,no,,,low,review,,,,,,,
term-02568,безличный брахман,Безличный Брахман,,other,Безличный Брахман,,no,no_diacritics_in_prose,,Безличный Брахман [2],vedabase_ru,"vedabase_ru:index.html:Безличный Брахман — это вездесущая истина, которая существует вечно: во время сотворения, эволюции и разрушения материал",,draft,auto-generated draft,no,,,low,review,,,,,,,
