id,normalized_key,lemma_ru,lemma_en,category,approved_form,declension_notes,italic_required,diacritics_policy,capitalization_notes,variants_found,preferred_source,source_examples,editor_decision,status,notes,conflict_flag,conflict_variants,conflict_sources,review_priority,suggested_action,decision,approved_form_override,category_override,italic_required_override,diacritics_policy_override,merge_into,review_notes
term-00495,адвайта ачарья,Адвайта Ачарья,,personal_name,Адвайта Ачарья,,no,no_diacritics_in_prose,,Адвайта Ачарья [3],vedabase_ru,"vedabase_ru:index.html:Адвайта Ачарья — Его особая экспансия. Шри Адвайта всегда занят преданным служением, посвящая этому все Свои мысли, слов | vedabase_ru:index.html:Адвайта Ачарья — частичное воплощение Господа, и я миллионы раз припадаю к Его лотосным стопам",,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-00496,адвайта ачарья госвами,Адвайта Ачарья Госвами,,personal_name,Адвайта Ачарья Госвами,,no,no_diacritics_in_prose,,Адвайта Ачарья Госвами [2],vedabase_ru,vedabase_ru:index.html:Адвайта Ачарья Госвами — воплощение Господа в образе преданного. Кришна пришел в этот мир в ответ на Его громкий зов,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-00964,аматам,аматам,,personal_name,аматам,,yes,no_diacritics_in_prose,,аматам [1],vedabase_ru,vedabase_ru:index.html:аматам,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-02072,а̄тматайа̄,а̄тматайа̄,,personal_name,а̄тматайа̄,,yes,needs_review,,а̄тматайа̄ [1],vedabase_ru,vedabase_ru:index.html:а̄тматайа̄,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-02073,а̄тмата̄м,а̄тмата̄м,,personal_name,а̄тмата̄м,,yes,needs_review,,а̄тмата̄м [1],vedabase_ru,vedabase_ru:index.html:а̄тмата̄м,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-02188,ачарья,ачарья,,personal_name,ачарья,,conditional,no_diacritics_in_prose,,ачарья [46] | Ачарья [11],bvks_ru,"vedabase_ru:index.html:ачарья | vedabase_ru:index.html:Ачарья | bvks_ru:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Ачарья — духовный наставник, который учит религиозным принципам на своём собственном примере. Кроме того, это слово може | bvks_ru:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:ачарья",,needs_review,auto-generated draft,yes,ачарья [46] | Ачарья [11],vedabase_ru [55] | bvks_ru [2],high,review,,,,,,,
term-02189,ачарья таттвавади,ачарья таттвавади,,personal_name,ачарья таттвавади,,yes,no_diacritics_in_prose,,ачарья таттвавади [1],vedabase_ru,vedabase_ru:index.html:ачарья таттвавади,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-02190,ачарьядевой,ачарьядевой,,personal_name,ачарьядевой,,yes,no_diacritics_in_prose,,ачарьядевой [2],vedabase_ru,vedabase_ru:index.html:ачарьядевой,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-02191,ачарьям,ачарьям,,personal_name,ачарьям,,yes,no_diacritics_in_prose,,ачарьям [10],vedabase_ru,vedabase_ru:index.html:ачарьям,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-02192,ачарьями,ачарьями,,personal_name,ачарьями,,yes,no_diacritics_in_prose,,ачарьями [31],bvks_ru,vedabase_ru:index.html:ачарьями | bvks_ru:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:ачарьями,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
