id,normalized_key,lemma_ru,lemma_en,category,approved_form,declension_notes,italic_required,diacritics_policy,capitalization_notes,variants_found,preferred_source,source_examples,editor_decision,status,notes,conflict_flag,conflict_variants,conflict_sources,review_priority,suggested_action,decision,approved_form_override,category_override,italic_required_override,diacritics_policy_override,merge_into,review_notes
term-00045,абхакти,абхакти,,philosophical_term,абхакти,,yes,no_diacritics_in_prose,,абхакти [1],bvks_ru,bvks_ru:Shri_Bkhaktisiddkhanta_Vaybkhava_Tom1.docx:абхакти,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-00308,авйабхича̄рин̣ӣ-бхакти,авйабхича̄рин̣ӣ-бхакти,,philosophical_term,авйабхича̄рин̣ӣ-бхакти,,yes,needs_review,,авйабхича̄рин̣ӣ-бхакти [2],vedabase_ru,vedabase_ru:index.html:авйабхича̄рин̣ӣ-бхакти,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-00456,агун̣асйа,агун̣асйа,,philosophical_term,агун̣асйа,,yes,needs_review,,агун̣асйа [2],vedabase_ru,vedabase_ru:index.html:агун̣асйа,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-00486,адбхута-гун̣а,адбхута-гун̣а,,philosophical_term,адбхута-гун̣а,,yes,needs_review,,адбхута-гун̣а [2],vedabase_ru,vedabase_ru:index.html:адбхута-гун̣а,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-00562,ади-лила,Ади-лила,,philosophical_term,Ади-лила,,yes,no_diacritics_in_prose,,Ади-лила [2],vedabase_ru,vedabase_ru:index.html:Ади-лила,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-01079,а̄нанда-лӣла̄майа-виграха̄йа,А̄нанда-лӣла̄майа-виграха̄йа,,philosophical_term,А̄нанда-лӣла̄майа-виграха̄йа,,yes,needs_review,,А̄нанда-лӣла̄майа-виграха̄йа [1],vedabase_ru,vedabase_ru:index.html:А̄нанда-лӣла̄майа-виграха̄йа,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-01119,ананья-бхакти,ананья-бхакти,,philosophical_term,ананья-бхакти,,yes,no_diacritics_in_prose,,ананья-бхакти [2],vedabase_ru,vedabase_ru:index.html:ананья-бхакти,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-01313,антйалӣла̄,антйалӣла̄,,philosophical_term,антйалӣла̄,,yes,needs_review,,антйалӣла̄ [2],vedabase_ru,vedabase_ru:index.html:антйалӣла̄,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-02253,аш́актах̣,аш́актах̣,,philosophical_term,аш́актах̣,,yes,needs_review,,аш́актах̣ [2],vedabase_ru,vedabase_ru:index.html:аш́актах̣,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-02259,аш́а̄стра,аш́а̄стра,,philosophical_term,аш́а̄стра,,yes,needs_review,,аш́а̄стра [2],vedabase_ru,vedabase_ru:index.html:аш́а̄стра,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-02260,аш́астрам,аш́астрам,,philosophical_term,аш́астрам,,yes,needs_review,,аш́астрам [2],vedabase_ru,vedabase_ru:index.html:аш́астрам,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-02348,ашта-калика-лила,ашта-калика-лила,,philosophical_term,ашта-калика-лила,,yes,no_diacritics_in_prose,,ашта-калика-лила [1],vedabase_ru,vedabase_ru:index.html:ашта-калика-лила,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-02455,ба̄лйалӣла̄,ба̄лйалӣла̄,,philosophical_term,ба̄лйалӣла̄,,yes,needs_review,,ба̄лйалӣла̄ [2],vedabase_ru,vedabase_ru:index.html:ба̄лйалӣла̄,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-02463,балила,балила,,philosophical_term,балила,,yes,diacritics_in_quotes_only,,балила̄ [14] | балила [8],vedabase_ru,vedabase_ru:index.html:балила̄ | vedabase_ru:index.html:балила,,needs_review,auto-generated draft,yes,балила̄ [14] | балила [8],vedabase_ru [22],high,review,,,,,,,
term-02620,брахма-вимохана-лила,брахма-вимохана-лила,,philosophical_term,брахма-вимохана-лила,,yes,no_diacritics_in_prose,,брахма-вимохана-лила [1],vedabase_ru,vedabase_ru:index.html:брахма-вимохана-лила,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-02642,брахма-шастры,брахма-шастры,,philosophical_term,брахма-шастры,,yes,no_diacritics_in_prose,,брахма-шастры [1],vedabase_ru,vedabase_ru:index.html:брахма-шастры,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-02658,брахманами-санньяси,брахманами-санньяси,,philosophical_term,брахманами-санньяси,,yes,no_diacritics_in_prose,,брахманами-санньяси [2],vedabase_ru,vedabase_ru:index.html:брахманами-санньяси,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-02692,брахману шастры,брахману шастры,,philosophical_term,брахману шастры,,yes,no_diacritics_in_prose,,брахману шастры [1],vedabase_ru,vedabase_ru:index.html:брахману шастры,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-02784,бхавад-гун̣а-катха̄,Бхавад-гун̣а-катха̄,,philosophical_term,Бхавад-гун̣а-катха̄,,yes,needs_review,,Бхавад-гун̣а-катха̄ [1],vedabase_ru,vedabase_ru:index.html:Бхавад-гун̣а-катха̄,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-02851,бхагавад-бхакти,бхагавад-бхакти,,philosophical_term,бхагавад-бхакти,,yes,no_diacritics_in_prose,,бхагавад-бхакти [1],bvks_ru,bvks_ru:Shri_Bkhaktisiddkhanta_Vaybkhava_Tom1.docx:бхагавад-бхакти,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-02852,бхагавад-бхакти-хӣнасйа,бхагавад-бхакти-хӣнасйа,,philosophical_term,бхагавад-бхакти-хӣнасйа,,yes,needs_review,,бхагавад-бхакти-хӣнасйа [1],vedabase_ru,vedabase_ru:index.html:бхагавад-бхакти-хӣнасйа,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-02977,бхакти,бхакти,,philosophical_term,бхакти,,conditional,no_diacritics_in_prose,,бхакти [489] | Бхакти [20],bvks_ru,"vedabase_ru:index.html:бхакти | vedabase_ru:index.html:Бхакти | vedabase_ru:index.html:Бхакти — это отношения между слугой и господином. Долг слуги — служить господину, а господин дает слуге все необходимое | bvks_ru:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Бхакти — поклонение Верховной Личности Бога, Шри Кришне, через любовное служение Ему при помощи мыслей, речи и поступков | bvks_ru:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:бхакти",,needs_review,auto-generated draft,yes,бхакти [489] | Бхакти [20],vedabase_ru [393] | bvks_ru [116],high,review,,,,,,,
term-02978,бхакти-йоги,бхакти-йоги,,philosophical_term,бхакти-йоги,,yes,no_diacritics_in_prose,,бхакти-йоги [1],vedabase_ru,vedabase_ru:index.html:бхакти-йоги,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
