id,normalized_key,lemma_ru,lemma_en,category,approved_form,declension_notes,italic_required,diacritics_policy,capitalization_notes,variants_found,preferred_source,source_examples,editor_decision,status,notes,conflict_flag,conflict_variants,conflict_sources,review_priority,suggested_action,decision,approved_form_override,category_override,italic_required_override,diacritics_policy_override,merge_into,review_notes
term-00606,адхама,адхама,,place_name,адхама,,yes,no_diacritics_in_prose,,адхама [8],vedabase_ru,vedabase_ru:index.html:адхама,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-00607,адхама падуев,адхама падуев,,place_name,адхама падуев,,yes,no_diacritics_in_prose,,адхама падуев [2],vedabase_ru,vedabase_ru:index.html:адхама падуев,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-00608,адхама-падуи,адхама-падуи,,place_name,адхама-падуи,,yes,no_diacritics_in_prose,,адхама-падуи [2],vedabase_ru,vedabase_ru:index.html:адхама-падуи,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-00609,адхама-падуями,адхама-падуями,,place_name,адхама-падуями,,yes,no_diacritics_in_prose,,адхама-падуями [2],vedabase_ru,vedabase_ru:index.html:адхама-падуями,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-00610,адхама̄м,адхама̄м,,place_name,адхама̄м,,yes,needs_review,,адхама̄м [2],vedabase_ru,vedabase_ru:index.html:адхама̄м,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-00611,адхама̄н,адхама̄н,,place_name,адхама̄н,,yes,needs_review,,адхама̄н [2],vedabase_ru,vedabase_ru:index.html:адхама̄н,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-00612,адхамасйа,адхамасйа,,place_name,адхамасйа,,yes,no_diacritics_in_prose,,адхамасйа [1],vedabase_ru,vedabase_ru:index.html:адхамасйа,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-00613,адхамах̣,адхамах̣,,place_name,адхамах̣,,yes,needs_review,,адхама̄х̣ [2] | адхамах̣ [2],vedabase_ru,vedabase_ru:index.html:адхама̄х̣ | vedabase_ru:index.html:адхамах̣,,needs_review,auto-generated draft,yes,адхама̄х̣ [2] | адхамах̣ [2],vedabase_ru [4],high,review,,,,,,,
term-00614,адхаме,адхаме,,place_name,адхаме,,yes,no_diacritics_in_prose,,адхаме [4],vedabase_ru,vedabase_ru:index.html:адхаме,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-00615,адхамере,адхамере,,place_name,адхамере,,yes,no_diacritics_in_prose,,адхамере [2],vedabase_ru,vedabase_ru:index.html:адхамере,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-00750,а̄йудхам,а̄йудхам,,place_name,а̄йудхам,,yes,needs_review,,а̄йудхам [2],vedabase_ru,vedabase_ru:index.html:а̄йудхам,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-01198,андхам,андхам,,place_name,андхам,,yes,no_diacritics_in_prose,,андхам [4],vedabase_ru,vedabase_ru:index.html:андхам,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-01320,анубандхам,анубандхам,,place_name,анубандхам,,yes,no_diacritics_in_prose,,анубандхам [2],vedabase_ru,vedabase_ru:index.html:анубандхам,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-01523,апапа-виддхам,апапа-виддхам,,place_name,апапа-виддхам,,yes,diacritics_in_quotes_only,,апапа-виддхам [2] | апа̄па-виддхам [2],vedabase_ru,vedabase_ru:index.html:апапа-виддхам | vedabase_ru:index.html:апа̄па-виддхам,,needs_review,auto-generated draft,yes,апапа-виддхам [2] | апа̄па-виддхам [2],vedabase_ru [4],high,review,,,,,,,
term-01627,а̄пӯрйа,а̄пӯрйа,,place_name,а̄пӯрйа,,yes,needs_review,,а̄пӯрйа [2],vedabase_ru,vedabase_ru:index.html:а̄пӯрйа,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-01628,а̄пӯрйама̄н̣ам,а̄пӯрйама̄н̣ам,,place_name,а̄пӯрйама̄н̣ам,,yes,needs_review,,а̄пӯрйама̄н̣ам [2],vedabase_ru,vedabase_ru:index.html:а̄пӯрйама̄н̣ам,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
