id,normalized_key,lemma_ru,lemma_en,category,approved_form,declension_notes,italic_required,diacritics_policy,capitalization_notes,variants_found,preferred_source,source_examples,editor_decision,status,notes,conflict_flag,conflict_variants,conflict_sources,review_priority,suggested_action,decision,approved_form_override,category_override,italic_required_override,diacritics_policy_override,merge_into,review_notes
term-00501,адвайта-веданты,адвайта-веданты,,scripture_title,адвайта-веданты,,yes,no_diacritics_in_prose,,адвайта-веданты [1],vedabase_ru,vedabase_ru:index.html:адвайта-веданты,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-00925,а̄лин̇гитах̣,а̄лин̇гитах̣,,scripture_title,а̄лин̇гитах̣,,yes,needs_review,,а̄лин̇гитах̣ [2],vedabase_ru,vedabase_ru:index.html:а̄лин̇гитах̣,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-02032,атма-ниведанам,атма-ниведанам,,scripture_title,атма-ниведанам,,yes,no_diacritics_in_prose,,атма-ниведанам [1],vedabase_ru,vedabase_ru:index.html:атма-ниведанам,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-02033,атма-ниведаной,атма-ниведаной,,scripture_title,атма-ниведаной,,yes,no_diacritics_in_prose,,атма-ниведаной [1],vedabase_ru,vedabase_ru:index.html:атма-ниведаной,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-02034,атма-ниведаны,атма-ниведаны,,scripture_title,атма-ниведаны,,yes,no_diacritics_in_prose,,атма-ниведаны [1],vedabase_ru,vedabase_ru:index.html:атма-ниведаны,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-02716,брихан-нарадия-пурана,Брихан-Нарадия-пурана,,scripture_title,Брихан-Нарадия-пурана,,yes,no_diacritics_in_prose,,Брихан-Нарадия-пурана [1],vedabase_ru,vedabase_ru:index.html:Брихан-Нарадия-пурана,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-03769,веда,веда,,scripture_title,веда,,yes,no_diacritics_in_prose,,веда [80] | Веда [1],vedabase_ru,vedabase_ru:index.html:веда | vedabase_ru:index.html:Веда,,needs_review,auto-generated draft,yes,веда [80] | Веда [1],vedabase_ru [81],high,review,,,,,,,
term-03770,веда-ва̄да-рата,веда-ва̄да-рата,,scripture_title,веда-ва̄да-рата,,yes,needs_review,,веда-ва̄да-рата [2],vedabase_ru,vedabase_ru:index.html:веда-ва̄да-рата,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-03771,веда-вада-ратам,веда-вада-ратам,,scripture_title,веда-вада-ратам,,yes,no_diacritics_in_prose,,веда-вада-ратам [2],vedabase_ru,vedabase_ru:index.html:веда-вада-ратам,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-03772,веда-вада-ратами,веда-вада-ратами,,scripture_title,веда-вада-ратами,,yes,no_diacritics_in_prose,,веда-вада-ратами [2],vedabase_ru,vedabase_ru:index.html:веда-вада-ратами,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-03773,веда-вада-раты,веда-вада-раты,,scripture_title,веда-вада-раты,,yes,no_diacritics_in_prose,,веда-вада-раты [4] | Веда-вада-раты [2],vedabase_ru,vedabase_ru:index.html:Веда-вада-раты | vedabase_ru:index.html:веда-вада-раты,,needs_review,auto-generated draft,yes,веда-вада-раты [4] | Веда-вада-раты [2],vedabase_ru [6],high,review,,,,,,,
