id,normalized_key,lemma_ru,lemma_en,category,approved_form,declension_notes,italic_required,diacritics_policy,capitalization_notes,variants_found,preferred_source,source_examples,editor_decision,status,notes,conflict_flag,conflict_variants,conflict_sources,review_priority,suggested_action,decision,approved_form_override,category_override,italic_required_override,diacritics_policy_override,merge_into,review_notes
term-00023,абсолютная истина,Абсолютная Истина,,other,Абсолютная Истина,,no,no_diacritics_in_prose,,Абсолютная Истина [1],vedabase_ru,"vedabase_ru:index.html:Абсолютная Истина — это Шри Кришна, и искреннюю преданность Ему, проявляющуюся в чистой любви, можно обрести благодаря с",,draft,auto-generated draft,no,,,low,review,,,,,,,
term-00045,абхакти,абхакти,,philosophical_term,абхакти,,yes,no_diacritics_in_prose,,абхакти [1],bvks_ru,bvks_ru:Shri_Bkhaktisiddkhanta_Vaybkhava_Tom1.docx:абхакти,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-00156,абхишека,абхишека,,other,абхишека,,conditional,no_diacritics_in_prose,,абхишека [5] | Абхишека [3],bvks_ru,vedabase_ru:index.html:абхишека | vedabase_ru:index.html:Абхишека | bvks_ru:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Абхишека — торжественная церемония омовения почитаемой личности,,needs_review,auto-generated draft,yes,абхишека [5] | Абхишека [3],vedabase_ru [7] | bvks_ru [1],medium,review,,,,,,,
term-00253,аватара,аватара,,other,аватара,,conditional,diacritics_in_quotes_only,,авата̄ра [153] | аватара [13] | Аватара [3],bvks_ru,vedabase_ru:index.html:аватара | vedabase_ru:index.html:авата̄ра | vedabase_ru:index.html:Аватара | bvks_ru:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Аватара — воплощение Верховного Господа в материальном мире,,needs_review,auto-generated draft,yes,авата̄ра [153] | аватара [13] | Аватара [3],vedabase_ru [168] | bvks_ru [1],medium,review,,,,,,,
term-00308,авйабхича̄рин̣ӣ-бхакти,авйабхича̄рин̣ӣ-бхакти,,philosophical_term,авйабхича̄рин̣ӣ-бхакти,,yes,needs_review,,авйабхича̄рин̣ӣ-бхакти [2],vedabase_ru,vedabase_ru:index.html:авйабхича̄рин̣ӣ-бхакти,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-00456,агун̣асйа,агун̣асйа,,philosophical_term,агун̣асйа,,yes,needs_review,,агун̣асйа [2],vedabase_ru,vedabase_ru:index.html:агун̣асйа,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-00486,адбхута-гун̣а,адбхута-гун̣а,,philosophical_term,адбхута-гун̣а,,yes,needs_review,,адбхута-гун̣а [2],vedabase_ru,vedabase_ru:index.html:адбхута-гун̣а,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-00495,адвайта ачарья,Адвайта Ачарья,,personal_name,Адвайта Ачарья,,no,no_diacritics_in_prose,,Адвайта Ачарья [3],vedabase_ru,"vedabase_ru:index.html:Адвайта Ачарья — Его особая экспансия. Шри Адвайта всегда занят преданным служением, посвящая этому все Свои мысли, слов | vedabase_ru:index.html:Адвайта Ачарья — частичное воплощение Господа, и я миллионы раз припадаю к Его лотосным стопам",,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-00496,адвайта ачарья госвами,Адвайта Ачарья Госвами,,personal_name,Адвайта Ачарья Госвами,,no,no_diacritics_in_prose,,Адвайта Ачарья Госвами [2],vedabase_ru,vedabase_ru:index.html:Адвайта Ачарья Госвами — воплощение Господа в образе преданного. Кришна пришел в этот мир в ответ на Его громкий зов,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
term-00501,адвайта-веданты,адвайта-веданты,,scripture_title,адвайта-веданты,,yes,no_diacritics_in_prose,,адвайта-веданты [1],vedabase_ru,vedabase_ru:index.html:адвайта-веданты,,draft,auto-generated draft,no,,,medium,keep,,,,,,,
