id,normalized_key,lemma_ru,lemma_en,category,approved_form,declension_notes,italic_required,diacritics_policy,capitalization_notes,variants_found,preferred_source,source_examples,editor_decision,status,notes,conflict_flag,conflict_variants,conflict_sources,review_priority,suggested_action,decision,approved_form_override,category_override,italic_required_override,diacritics_policy_override,merge_into,review_notes
term-00613,адхамах̣,адхамах̣,,place_name,адхамах̣,,yes,needs_review,,адхама̄х̣ [2] | адхамах̣ [2],vedabase_ru,vedabase_ru:index.html:адхама̄х̣ | vedabase_ru:index.html:адхамах̣,,needs_review,auto-generated draft,yes,адхама̄х̣ [2] | адхамах̣ [2],vedabase_ru [4],high,review,,,,,,,
term-01523,апапа-виддхам,апапа-виддхам,,place_name,апапа-виддхам,,yes,diacritics_in_quotes_only,,апапа-виддхам [2] | апа̄па-виддхам [2],vedabase_ru,vedabase_ru:index.html:апапа-виддхам | vedabase_ru:index.html:апа̄па-виддхам,,needs_review,auto-generated draft,yes,апапа-виддхам [2] | апа̄па-виддхам [2],vedabase_ru [4],high,review,,,,,,,
term-02188,ачарья,ачарья,,personal_name,ачарья,,conditional,no_diacritics_in_prose,,ачарья [46] | Ачарья [11],bvks_ru,"vedabase_ru:index.html:ачарья | vedabase_ru:index.html:Ачарья | bvks_ru:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Ачарья — духовный наставник, который учит религиозным принципам на своём собственном примере. Кроме того, это слово може | bvks_ru:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:ачарья",,needs_review,auto-generated draft,yes,ачарья [46] | Ачарья [11],vedabase_ru [55] | bvks_ru [2],high,review,,,,,,,
term-02337,ашрита,ашрита,,honorific,ашрита,,yes,diacritics_in_quotes_only,,а̄ш́рита [8] | ашрита [4] | Ашрита [2],vedabase_ru,vedabase_ru:index.html:а̄ш́рита | vedabase_ru:index.html:ашрита | vedabase_ru:index.html:Ашрита,,needs_review,auto-generated draft,yes,а̄ш́рита [8] | ашрита [4] | Ашрита [2],vedabase_ru [14],high,review,,,,,,,
term-02340,а̄ш́ритах̣,а̄ш́ритах̣,,honorific,а̄ш́ритах̣,,yes,needs_review,,а̄ш́ритах̣ [8] | а̄ш́рита̄х̣ [6],vedabase_ru,vedabase_ru:index.html:а̄ш́рита̄х̣ | vedabase_ru:index.html:а̄ш́ритах̣,,needs_review,auto-generated draft,yes,а̄ш́ритах̣ [8] | а̄ш́рита̄х̣ [6],vedabase_ru [14],high,review,,,,,,,
term-02463,балила,балила,,philosophical_term,балила,,yes,diacritics_in_quotes_only,,балила̄ [14] | балила [8],vedabase_ru,vedabase_ru:index.html:балила̄ | vedabase_ru:index.html:балила,,needs_review,auto-generated draft,yes,балила̄ [14] | балила [8],vedabase_ru [22],high,review,,,,,,,
term-02977,бхакти,бхакти,,philosophical_term,бхакти,,conditional,no_diacritics_in_prose,,бхакти [489] | Бхакти [20],bvks_ru,"vedabase_ru:index.html:бхакти | vedabase_ru:index.html:Бхакти | vedabase_ru:index.html:Бхакти — это отношения между слугой и господином. Долг слуги — служить господину, а господин дает слуге все необходимое | bvks_ru:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Бхакти — поклонение Верховной Личности Бога, Шри Кришне, через любовное служение Ему при помощи мыслей, речи и поступков | bvks_ru:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:бхакти",,needs_review,auto-generated draft,yes,бхакти [489] | Бхакти [20],vedabase_ru [393] | bvks_ru [116],high,review,,,,,,,
term-02986,бхакти-йога,бхакти-йога,,philosophical_term,бхакти-йога,,yes,no_diacritics_in_prose,,бхакти-йога [63] | Бхакти-йога [21],vedabase_ru,vedabase_ru:index.html:бхакти-йога | vedabase_ru:index.html:Бхакти-йога,,needs_review,auto-generated draft,yes,бхакти-йога [63] | Бхакти-йога [21],vedabase_ru [84],high,review,,,,,,,
term-02993,бхакти-йогу,бхакти-йогу,,philosophical_term,бхакти-йогу,,yes,no_diacritics_in_prose,,бхакти-йогу [17] | Бхакти-йогу [1],vedabase_ru,vedabase_ru:index.html:бхакти-йогу | vedabase_ru:index.html:Бхакти-йогу,,needs_review,auto-generated draft,yes,бхакти-йогу [17] | Бхакти-йогу [1],vedabase_ru [18],high,review,,,,,,,
term-03006,бхактйа̄,бхактйа̄,,philosophical_term,бхактйа̄,,yes,needs_review,,бхактйа̄ [28] | Бхактйа̄ [1],vedabase_ru,vedabase_ru:index.html:бхактйа̄ | vedabase_ru:index.html:Бхактйа̄,,needs_review,auto-generated draft,yes,бхактйа̄ [28] | Бхактйа̄ [1],vedabase_ru [29],high,review,,,,,,,
