id,normalized_key,lemma_ru,lemma_en,category,approved_form,declension_notes,italic_required,diacritics_policy,capitalization_notes,variants_found,preferred_source,source_examples,editor_decision,status,notes,conflict_flag,conflict_variants,conflict_sources,review_priority,suggested_action,decision,approved_form_override,category_override,italic_required_override,diacritics_policy_override,merge_into,review_notes
term-00004,абхишека,Абхишека,,philosophical_term,Абхишека,,conditional,no_diacritics_in_prose,,Абхишека [3],bvks_ru_chaitanya,vedabase_ru:index.html:Абхишека | bvks_ru_chaitanya:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Абхишека — торжественная церемония омовения почитаемой личности,,needs_review,auto-generated draft,yes,Абхишека [3],vedabase_ru [2] | bvks_ru_chaitanya [1],high,review,,,,,,,
term-00010,арати,арати,,philosophical_term,арати,,conditional,no_diacritics_in_prose,,арати [7] | Арати [2],bvks_ru_chaitanya,"vedabase_ru:index.html:арати | vedabase_ru:index.html:Арати | bvks_ru_chaitanya:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Арати — церемония поклонения Божеству Верховного Господа, во время которой Ему предлагают благовония, светильник, цветы,",,needs_review,auto-generated draft,yes,арати [7] | Арати [2],vedabase_ru [8] | bvks_ru_chaitanya [1],high,review,,,,,,,
term-00013,ачарья,ачарья,,personal_name,ачарья,,conditional,no_diacritics_in_prose,,ачарья [42] | ачарьями [30] | ачарьям [17] | Ачарья [10] | ачарьядевой [2],bvks_ru_chaitanya,vedabase_ru:index.html:ачарья | vedabase_ru:index.html:ачарьями | vedabase_ru:index.html:Ачарья | vedabase_ru:index.html:ачарьядевой | vedabase_ru:index.html:ачарьям,,needs_review,auto-generated draft,yes,ачарья [42] | ачарьями [30] | ачарьям [17] | Ачарья [10] | ачарьядевой [2],vedabase_ru [98] | bvks_ru_chaitanya [3],high,review,,,,,,,
term-00014,ашрам,ашрам,,philosophical_term,ашрам,,conditional,no_diacritics_in_prose,,ашрамов [16] | ашраме [7] | ашраму [5] | ашрамами [3] | ашрама [2] | ашрамы [2] | ашрам [1] | Ашрам [1],bvks_ru_chaitanya,vedabase_ru:index.html:ашрамов | vedabase_ru:index.html:ашраме | vedabase_ru:index.html:ашрама | vedabase_ru:index.html:ашраму | vedabase_ru:index.html:ашрам,,needs_review,auto-generated draft,yes,ашрамов [16] | ашраме [7] | ашраму [5] | ашрамами [3] | ашрама [2] | ашрамы [2] | ашрам [1] | Ашрам [1],vedabase_ru [33] | bvks_ru_chaitanya [2] | our_ru_success [2],high,review,,,,,,,
term-00021,брахман,брахман,,philosophical_term,брахман,,conditional,no_diacritics_in_prose,,брахманов [254] | брахмана [223] | брахман [186] | брахманом [151] | брахманы [116] | брахманам [72] | Брахман [42] | брахманами [40] | брахману [36] | Брахманы [27] | брахманах [6] | брахманде [6] | брахмане [5] | Брахманам [4] | Брахманом [4] | Брахмана [2] | брахмананду [2] | брахмананда [2] | брахманды [2] | Брахманов [2] | Брахману [2] | брахмананды [1] | брахманандой [1],bvks_ru_chaitanya,vedabase_ru:index.html:брахмана | vedabase_ru:index.html:брахманами | vedabase_ru:index.html:брахманы | vedabase_ru:index.html:брахманом | vedabase_ru:index.html:брахман,,needs_review,auto-generated draft,yes,брахманов [254] | брахмана [223] | брахман [186] | брахманом [151] | брахманы [116] | брахманам [72] | Брахман [42] | брахманами [40] | брахману [36] | Брахманы [27] | брахманах [6] | брахманде [6] | брахмане [5] | Брахманам [4] | Брахманом [4] | Брахмана [2] | брахмананду [2] | брахмананда [2] | брахманды [2] | Брахманов [2] | Брахману [2] | брахмананды [1] | брахманандой [1],vedabase_ru [1130] | bvks_ru_chaitanya [50] | our_ru_success [6],high,review,,,,,,,
term-00032,брахмачари,брахмачари,,philosophical_term,брахмачари,,conditional,no_diacritics_in_prose,,брахмачари [103] | Брахмачари [18],bvks_ru_chaitanya,"vedabase_ru:index.html:брахмачари | vedabase_ru:index.html:Брахмачари | bvks_ru_chaitanya:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Брахмачари — ученик, хранящий целибат | bvks_ru_chaitanya:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:брахмачари | bvks_ru_chaitanya:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Брахмачари",,needs_review,auto-generated draft,yes,брахмачари [103] | Брахмачари [18],vedabase_ru [116] | bvks_ru_chaitanya [4] | our_ru_success [1],high,review,,,,,,,
term-00036,бхакти,бхакти,,philosophical_term,бхакти,,conditional,no_diacritics_in_prose,,бхакти [163] | Бхакти [13] | бхактим [2] | бхактимат [2],bvks_ru_chaitanya,"vedabase_ru:index.html:бхакти | vedabase_ru:index.html:Бхакти | vedabase_ru:index.html:бхактим | vedabase_ru:index.html:бхактимат | bvks_ru_chaitanya:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Бхакти — поклонение Верховной Личности Бога, Шри Кришне, через любовное служение Ему при помощи мыслей, речи и поступков",,needs_review,auto-generated draft,yes,бхакти [163] | Бхакти [13] | бхактим [2] | бхактимат [2],vedabase_ru [175] | bvks_ru_chaitanya [5],high,review,,,,,,,
term-00090,веданта,веданта,,scripture_title,веданта,,conditional,no_diacritics_in_prose,,веданты [89] | веданту [26] | веданти [8] | веданта [4] | веданте [2] | ведантой [2] | ведантистами [2] | Веданта [2] | ведантистов [1],bvks_ru_chaitanya,vedabase_ru:index.html:веданты | vedabase_ru:index.html:ведантистов | vedabase_ru:index.html:веданту | vedabase_ru:index.html:веданта | vedabase_ru:index.html:веданти,,needs_review,auto-generated draft,yes,веданты [89] | веданту [26] | веданти [8] | веданта [4] | веданте [2] | ведантой [2] | ведантистами [2] | Веданта [2] | ведантистов [1],vedabase_ru [129] | bvks_ru_chaitanya [7],high,review,,,,,,,
term-00099,вишну,вишну,,personal_name,вишну,,conditional,no_diacritics_in_prose,,вишну [12] | Вишну [3],bvks_ru_chaitanya,"vedabase_ru:index.html:вишну | vedabase_ru:index.html:Вишну, Личность Бога, — это Абсолютная Истина, и полубоги всегда горят желанием созерцать Его лотосные стопы. Подобно бо | bvks_ru_chaitanya:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Вишну — Верховный Господь, экспансия Кришны",,needs_review,auto-generated draft,yes,вишну [12] | Вишну [3],vedabase_ru [14] | bvks_ru_chaitanya [1],high,review,,,,,,,
term-00118,гаятри,гаятри,,philosophical_term,гаятри,,conditional,no_diacritics_in_prose,,гаятри [9] | Гаятри [1],bvks_ru_chaitanya,"vedabase_ru:index.html:гаятри | bvks_ru_chaitanya:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Гаятри — мантра, которую дваждырождённые молча повторяют на рассвете, в полдень и на закате | bvks_ru_chaitanya:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:гаятри",,needs_review,auto-generated draft,yes,гаятри [9] | Гаятри [1],vedabase_ru [7] | bvks_ru_chaitanya [3],high,review,,,,,,,
term-00122,госвами,госвами,,personal_name,госвами,,conditional,no_diacritics_in_prose,,госвами [106] | Госвами [6],bvks_ru_chaitanya,"vedabase_ru:index.html:госвами | vedabase_ru:index.html:Госвами | bvks_ru_chaitanya:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Госвами — (1) человек, полностью обуздавший свои чувства; (2) титул санньяси",,needs_review,auto-generated draft,yes,госвами [106] | Госвами [6],vedabase_ru [111] | bvks_ru_chaitanya [1],high,review,,,,,,,
term-00147,даршан,даршан,,philosophical_term,даршан,,conditional,no_diacritics_in_prose,,даршан [5] | даршана [2] | Даршан [1],bvks_ru_chaitanya,bvks_ru_chaitanya:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Даршан — встреча с Верховным Господом или Его представителем | bvks_ru_chaitanya:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:даршан | bvks_ru_chaitanya:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:даршана,,needs_review,auto-generated draft,yes,даршан [5] | даршана [2] | Даршан [1],bvks_ru_chaitanya [8],high,review,,,,,,,
term-00169,кришна-бхакти,кришна-бхакти,,philosophical_term,кришна-бхакти,,yes,no_diacritics_in_prose,,кришна-бхакти [22] | Кришна-бхакти [2],bvks_ru_chaitanya,vedabase_ru:index.html:кришна-бхакти | vedabase_ru:index.html:Кришна-бхакти | bvks_ru_chaitanya:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:кришна-бхакти,,needs_review,auto-generated draft,yes,кришна-бхакти [22] | Кришна-бхакти [2],vedabase_ru [23] | bvks_ru_chaitanya [1],high,review,,,,,,,
term-00176,лила,лила,,philosophical_term,лила,,conditional,no_diacritics_in_prose,,лила [18] | Лила [1],bvks_ru_chaitanya,vedabase_ru:index.html:лила | bvks_ru_chaitanya:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Лила — трансцендентная игра Господа и Его чистых преданных,,needs_review,auto-generated draft,yes,лила [18] | Лила [1],vedabase_ru [18] | bvks_ru_chaitanya [1],high,review,,,,,,,
term-00186,майявади,майявади,,philosophical_term,майявади,,conditional,no_diacritics_in_prose,,майявади [390] | Майявади [82],bvks_ru_chaitanya,vedabase_ru:index.html:майявади | vedabase_ru:index.html:Майявади | bvks_ru_chaitanya:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Майявади — последователь философии майявады | bvks_ru_chaitanya:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:майявади,,needs_review,auto-generated draft,yes,майявади [390] | Майявади [82],vedabase_ru [462] | bvks_ru_chaitanya [10],high,review,,,,,,,
term-00225,санньяси,санньяси,,philosophical_term,санньяси,,conditional,no_diacritics_in_prose,,санньяси [524] | санньясу [206] | санньясы [64] | Санньяси [56] | санньяса [21] | санньясой [6] | санньясе [2] | Санньяса [1],bvks_ru_chaitanya,vedabase_ru:index.html:санньяси | vedabase_ru:index.html:санньяса | vedabase_ru:index.html:санньясу | vedabase_ru:index.html:Санньяси | vedabase_ru:index.html:санньясой,,needs_review,auto-generated draft,yes,санньяси [524] | санньясу [206] | санньясы [64] | Санньяси [56] | санньяса [21] | санньясой [6] | санньясе [2] | Санньяса [1],vedabase_ru [826] | bvks_ru_chaitanya [51] | our_ru_success [3],high,review,,,,,,,
term-00236,санньяси-майявади,санньяси-майявади,,philosophical_term,санньяси-майявади,,yes,no_diacritics_in_prose,,санньяси-майявади [117] | Санньяси-майявади [41],bvks_ru_chaitanya,vedabase_ru:index.html:Санньяси-майявади | vedabase_ru:index.html:санньяси-майявади | bvks_ru_chaitanya:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:санньяси-майявади | bvks_ru_chaitanya:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Санньяси-майявади,,needs_review,auto-generated draft,yes,санньяси-майявади [117] | Санньяси-майявади [41],vedabase_ru [154] | bvks_ru_chaitanya [4],high,review,,,,,,,
